feature,score
"['UNRATE', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.321426213
"['UNRATENSA', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.324610777
"['서울아파트매매가격지수', '자가주거비', '통화량']",-1.327076919
"['NEWORDER', '서울아파트매매가격지수', '통화량']",-1.327995551
"['PPIACO', '서울아파트매매가격지수', '자가주거비']",-1.33593248
"['서울아파트매매가격지수', '통화량', '한국실업률']",-1.336238881
"['BAA', 'TWEXBMTH', 'UMCSENT']",-1.339325059
"['UNRATENSA', '서울아파트매매가격지수', '자가주거비포함지수']",-1.342614933
"['TWEXBMTH', 'EXKOUS', 'KORPROINDMISMEI']",-1.343909702
"['TWEXBMTH', 'INDPRO', 'EXKOUS']",-1.348967817
"['BAA', 'TWEXBMTH', 'EXKOUS']",-1.350113791
"['NEWORDER', 'CPIAUCSL', '서울아파트매매가격지수']",-1.35061376
"['TWEXBMTH', 'TCU', 'UMCSENT']",-1.353473098
"['ISM_PMI_Actual', 'TOTALSA', 'KORPROINDMISMEI']",-1.358590972
"['HOUST', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.361259478
"['HOUST', '서울아파트매매가격지수', '자가주거비포함지수']",-1.361745315
"['CPIAUCSL', '서울아파트매매가격지수', '통화량']",-1.362748475
"['LREMTTTTUSM156S', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.363122163
"['TOTALSA', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",-1.365465256
"['ISM_PMI_Actual', 'BAA', 'TOTALSA']",-1.368784817
"['BAA', 'NEWORDER', 'TOTALSA']",-1.368920703
"['UNRATE', 'EXKOUS', 'KORCPIALLMINMEI']",-1.371101227
"['UNRATE', '서울아파트매매가격지수', '자가주거비']",-1.372090659
"['BAA', 'TWEXBMTH', 'LRUNTTTTKRM156S']",-1.373253756
"['UMCSENT', '서울아파트매매가격지수', '통화량']",-1.374539498
"['HOUST', '서울아파트매매가격지수', '통화량']",-1.375285905
"['BAA', 'DGORDER', 'TOTALSA']",-1.38313338
"['PCE', '서울아파트매매가격지수', '통화량']",-1.384506856
"['BAA', 'TCU', 'IR3TCD01KRM156N']",-1.384963443
"['UNRATE', 'EXKOUS', 'IR3TCD01KRM156N']",-1.386059189
"['TWEXBMTH', 'EXKOUS', 'KORCPIALLMINMEI']",-1.38608273
"['UNRATE', 'EXKOUS', 'KORPROINDMISMEI']",-1.387527906
"['UNRATE', 'PCE', '서울아파트매매가격지수']",-1.388986733
"['PCE', '서울아파트매매가격지수', '수출물가지수']",-1.389767516
"['TWEXBMTH', 'CPIAUCSL', '서울아파트매매가격지수']",-1.391788002
"['PCE', 'UNRATENSA', '서울아파트매매가격지수']",-1.391954554
"['BAA', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",-1.393489768
