DATE,GACDFSA066MSFRBPHI
2006-01-01,5.40000
2006-02-01,15.30000
2006-03-01,14.70000
2006-04-01,14.20000
2006-05-01,13.70000
2006-06-01,11.70000
2006-07-01,4.00000
2006-08-01,12.50000
2006-09-01,-0.80000
2006-10-01,2.30000
2006-11-01,4.50000
2006-12-01,-1.80000
2007-01-01,7.50000
2007-02-01,3.50000
2007-03-01,2.80000
2007-04-01,2.90000
2007-05-01,3.70000
2007-06-01,17.30000
2007-07-01,6.80000
2007-08-01,-0.50000
2007-09-01,7.50000
2007-10-01,7.80000
2007-11-01,6.60000
2007-12-01,-5.40000
2008-01-01,-18.30000
2008-02-01,-20.20000
2008-03-01,-14.90000
2008-04-01,-21.30000
2008-05-01,-16.10000
2008-06-01,-16.80000
2008-07-01,-16.20000
2008-08-01,-17.60000
2008-09-01,2.10000
2008-10-01,-37.80000
2008-11-01,-40.90000
2008-12-01,-37.60000
2009-01-01,-31.10000
2009-02-01,-39.30000
2009-03-01,-34.70000
2009-04-01,-25.20000
2009-05-01,-22.40000
2009-06-01,0.20000
2009-07-01,-6.60000
2009-08-01,8.80000
2009-09-01,15.10000
2009-10-01,12.70000
2009-11-01,15.40000
2009-12-01,16.50000
2010-01-01,12.90000
2010-02-01,13.90000
2010-03-01,14.20000
2010-04-01,16.00000
2010-05-01,22.20000
2010-06-01,14.90000
2010-07-01,7.70000
2010-08-01,3.60000
2010-09-01,4.50000
2010-10-01,0.30000
2010-11-01,19.10000
2010-12-01,15.40000
2011-01-01,16.50000
2011-02-01,28.90000
2011-03-01,36.40000
2011-04-01,12.90000
2011-05-01,6.20000
2011-06-01,-0.50000
2011-07-01,7.10000
2011-08-01,-19.40000
2011-09-01,-10.70000
2011-10-01,6.10000
2011-11-01,4.00000
2011-12-01,2.40000
2012-01-01,7.50000
2012-02-01,10.30000
2012-03-01,8.80000
2012-04-01,5.70000
2012-05-01,-0.80000
2012-06-01,-12.50000
2012-07-01,-12.60000
2012-08-01,-2.50000
2012-09-01,0.20000
2012-10-01,-1.30000
2012-11-01,-10.50000
2012-12-01,2.50000
2013-01-01,-1.40000
2013-02-01,-5.50000
2013-03-01,2.00000
2013-04-01,0.40000
2013-05-01,0.30000
2013-06-01,12.60000
2013-07-01,15.90000
2013-08-01,8.40000
2013-09-01,20.60000
2013-10-01,13.30000
2013-11-01,4.60000
2013-12-01,3.90000
2014-01-01,15.40000
2014-02-01,1.80000
2014-03-01,12.60000
2014-04-01,16.90000
2014-05-01,18.40000
2014-06-01,14.20000
2014-07-01,21.50000
2014-08-01,23.20000
2014-09-01,21.80000
2014-10-01,17.90000
2014-11-01,35.60000
2014-12-01,21.70000
2015-01-01,13.40000
2015-02-01,9.90000
2015-03-01,7.40000
2015-04-01,9.70000
2015-05-01,6.00000
2015-06-01,8.20000
2015-07-01,4.60000
2015-08-01,6.50000
2015-09-01,-3.70000
2015-10-01,-5.20000
2015-11-01,-3.80000
2015-12-01,-9.20000
2016-01-01,-3.50000
2016-02-01,-7.90000
2016-03-01,9.50000
2016-04-01,-1.60000
2016-05-01,-5.10000
2016-06-01,4.20000
2016-07-01,1.60000
2016-08-01,6.50000
2016-09-01,12.40000
2016-10-01,10.20000
2016-11-01,9.60000
2016-12-01,21.80000
2017-01-01,26.00000
2017-02-01,37.80000
