,feature,accuracy,precision,recall
4549,"['UNRATE', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
4632,"['T10Y2YM', 'CSUSHPINSA', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4665,"['T10Y2YM', 'PCE', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4787,"['T10Y2YM', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4893,"['T10Y2YM', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4962,"['T10Y2YM', 'HOUST', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
5040,"['T10Y2YM', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
5115,"['T10Y2YM', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
5157,"['T10Y2YM', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
5165,"['T10Y2YM', '통화량', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
5174,"['T10Y2YM', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",0.815789474,1,0.125
5176,"['T10Y2YM', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.842105263,1,0.25
5178,"['T10Y2YM', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
5179,"['T10Y2YM', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
5382,"['NEWORDER', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
5463,"['NEWORDER', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
5488,"['NEWORDER', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
5557,"['NEWORDER', 'HOUST', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
5770,"['NEWORDER', 'GACDFSA066MSFRBPHI', 'KORCPIALLMINMEI']",0.815789474,1,0.125
5943,"['CSUSHPINSA', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
6037,"['CSUSHPINSA', 'PPIACO', 'USSLIND']",0.815789474,1,0.125
6049,"['CSUSHPINSA', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6139,"['CSUSHPINSA', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
6159,"['CSUSHPINSA', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
6178,"['CSUSHPINSA', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6196,"['CSUSHPINSA', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
6271,"['CSUSHPINSA', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
6283,"['CSUSHPINSA', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6304,"['CSUSHPINSA', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6313,"['CSUSHPINSA', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6334,"['CSUSHPINSA', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
6335,"['CSUSHPINSA', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
6442,"['PCE', 'DGORDER', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6601,"['PCE', 'RMFSL', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6687,"['PCE', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6811,"['PCE', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6832,"['PCE', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
6863,"['PCE', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
6967,"['LREMTTTTUSM156S_x', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
6995,"['LREMTTTTUSM156S_x', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7048,"['LREMTTTTUSM156S_x', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7073,"['LREMTTTTUSM156S_x', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7142,"['LREMTTTTUSM156S_x', 'HOUST', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7202,"['LREMTTTTUSM156S_x', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7237,"['LREMTTTTUSM156S_x', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7337,"['LREMTTTTUSM156S_x', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7353,"['LREMTTTTUSM156S_x', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",0.842105263,1,0.25
7358,"['LREMTTTTUSM156S_x', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
7432,"['LREMTTTTUSM156S_y', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
7460,"['LREMTTTTUSM156S_y', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7513,"['LREMTTTTUSM156S_y', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7538,"['LREMTTTTUSM156S_y', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7607,"['LREMTTTTUSM156S_y', 'HOUST', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7667,"['LREMTTTTUSM156S_y', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7702,"['LREMTTTTUSM156S_y', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7802,"['LREMTTTTUSM156S_y', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7818,"['LREMTTTTUSM156S_y', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",0.842105263,1,0.25
7823,"['LREMTTTTUSM156S_y', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
7867,"['DGORDER', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
7895,"['DGORDER', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
7948,"['DGORDER', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8020,"['DGORDER', 'CPIAUCSL', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8042,"['DGORDER', 'HOUST', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
8051,"['DGORDER', 'HSN1F', 'USSLIND']",0.815789474,1,0.125
8120,"['DGORDER', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8163,"['DGORDER', 'AMBNS', 'EXKOUS']",0.815789474,1,0.125
8237,"['DGORDER', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8245,"['DGORDER', '통화량', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8255,"['DGORDER', 'GACDFSA066MSFRBPHI', 'KORCPIALLMINMEI']",0.815789474,1,0.125
8258,"['DGORDER', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
8301,"['TWEXBMTH', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8328,"['TWEXBMTH', 'TCU', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8379,"['TWEXBMTH', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8469,"['TWEXBMTH', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8489,"['TWEXBMTH', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
8508,"['TWEXBMTH', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8543,"['TWEXBMTH', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8559,"['TWEXBMTH', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8601,"['TWEXBMTH', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8613,"['TWEXBMTH', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8634,"['TWEXBMTH', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8643,"['TWEXBMTH', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8662,"['TWEXBMTH', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
8664,"['TWEXBMTH', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
8665,"['TWEXBMTH', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
8732,"['UNRATENSA', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
8847,"['UNRATENSA', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8886,"['UNRATENSA', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8904,"['UNRATENSA', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
8921,"['UNRATENSA', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
