DATE,Open,High,Low,Close,Adj Close,Volume,ac-rate,cm4,cm4up,cm4down,cm4normal,cm5,cm5up,cm5down,cm5normal
2007-06-01,13628.69043,13692,13251.53027,13408.62012,13408.62012,5227620000,-1.61%,0,0,0,1,0,0,0,1
2007-07-01,13409.59961,14021.9502,13199.79004,13211.99023,13211.99023,5512040000,-1.47%,0,0,0,1,0,0,0,1
2007-08-01,13211.08984,13695.82031,12517.94043,13357.74023,13357.74023,6199120000,1.10%,0,0,0,1,0,0,0,1
2007-09-01,13358.38965,13924.80957,13021.92969,13895.62988,13895.62988,4328370000,4.03%,1,1,0,0,0,0,0,1
2007-10-01,13895.70996,14198.09961,13407.49023,13930.00977,13930.00977,5010920000,0.25%,0,0,0,1,0,0,0,1
2007-11-01,13924.16016,13924.16016,12724.08984,13371.71973,13371.71973,5980230000,-4.01%,-1,0,1,0,0,0,0,1
2007-12-01,13368.21973,13780.11035,13092,13264.82031,13264.82031,4310320000,-0.80%,0,0,0,1,0,0,0,1
2008-01-01,13261.82031,13279.54004,11634.82031,12650.36035,12650.36035,7459830000,-4.63%,-1,0,1,0,0,0,0,1
2008-02-01,12638.16992,12767.74023,12069.46973,12266.38965,12266.38965,5720360000,-3.04%,0,0,0,1,0,0,0,1
2008-03-01,12264.36035,12622.07031,11731.59961,12262.88965,12262.88965,6229020000,-0.03%,0,0,0,1,0,0,0,1
2008-04-01,12266.63965,13010,12266.46973,12820.12988,12820.12988,5050840000,4.54%,1,1,0,0,0,0,0,1
2008-05-01,12818.33984,13136.69043,12442.58984,12638.32031,12638.32031,4530790000,-1.42%,0,0,0,1,0,0,0,1
2008-06-01,12637.66992,12638.08008,11287.55957,11350.00977,11350.00977,5309950000,-10.19%,-1,0,1,0,-1,0,1,0
2008-07-01,11344.63965,11698.16992,10827.70996,11378.01953,11378.01953,5551580000,0.25%,0,0,0,1,0,0,0,1
2008-08-01,11379.88965,11867.11035,11221.53027,11543.95996,11543.95996,3578210000,1.46%,0,0,0,1,0,0,0,1
2008-09-01,11545.62988,11790.16992,10365.4502,10850.66016,10850.66016,6302330000,-6.01%,-1,0,1,0,-1,0,1,0
2008-10-01,10847.40039,10882.51953,7882.509766,9325.009766,9325.009766,8311580000,-14.06%,-1,0,1,0,-1,0,1,0
2008-11-01,9326.040039,9653.950195,7449.379883,8829.040039,8829.040039,6262880000,-5.32%,-1,0,1,0,-1,0,1,0
2008-12-01,8826.889648,9026.410156,8118.5,8776.389648,8776.389648,5701870000,-0.60%,0,0,0,1,0,0,0,1
2009-01-01,8772.25,9088.05957,7909.029785,8000.859863,8000.859863,6261980000,-8.84%,-1,0,1,0,-1,0,1,0
2009-02-01,8000.620117,8315.070313,7033.620117,7062.930176,7062.930176,7134360000,-11.72%,-1,0,1,0,-1,0,1,0
2009-03-01,7056.47998,7931.330078,6469.950195,7608.919922,7608.919922,10561060000,7.73%,1,1,0,0,1,1,0,0
2009-04-01,7606.129883,8307.509766,7483.870117,8168.120117,8168.120117,7795900000,7.35%,1,1,0,0,1,1,0,0
2009-05-01,8167.410156,8591.929688,8099.310059,8500.330078,8500.330078,6734390000,4.07%,1,1,0,0,0,0,0,1
2009-06-01,8501.530273,8877.929688,8259.429688,8447,8447,5524080000,-0.63%,0,0,0,1,0,0,0,1
2009-07-01,8447.530273,9246.429688,8087.189941,9171.610352,9171.610352,4902340000,8.58%,1,1,0,0,1,1,0,0
2009-08-01,9173.650391,9630.200195,9116.519531,9496.280273,9496.280273,4042210000,3.54%,0,0,0,1,0,0,0,1
2009-09-01,9492.320313,9917.990234,9252.929688,9712.280273,9712.280273,4478480000,2.27%,0,0,0,1,0,0,0,1
2009-10-01,9711.599609,10119.46973,9430.080078,9712.730469,9712.730469,5151150000,0.00%,0,0,0,1,0,0,0,1
2009-11-01,9712.129883,10495.61035,9678.950195,10344.83984,10344.83984,3813550000,6.51%,1,1,0,0,1,1,0,0
2009-12-01,10343.82031,10580.33008,10235.62988,10428.04981,10428.04981,4174040000,0.80%,0,0,0,1,0,0,0,1
2010-01-01,10430.69043,10729.88965,10043.75,10067.33008,10067.33008,4424700000,-3.46%,0,0,0,1,0,0,0,1
2010-02-01,10068.99023,10438.54981,9835.089844,10325.25977,10325.25977,4279660000,2.56%,0,0,0,1,0,0,0,1
2010-03-01,10326.09961,10955.48047,10326.09961,10856.62988,10856.62988,4388530000,5.15%,1,1,0,0,1,1,0,0
2010-04-01,10857.30957,11258.00977,10844.08984,11008.61035,11008.61035,4237550000,1.40%,0,0,0,1,0,0,0,1
2010-05-01,11009.59961,11177.66992,9774.480469,10136.62988,10136.62988,5605690000,-7.92%,-1,0,1,0,-1,0,1,0
2010-06-01,10133.94043,10594.16016,9753.839844,9774.019531,9774.019531,4941680000,-3.58%,0,0,0,1,0,0,0,1
2010-07-01,9773.269531,10584.99023,9614.320313,10465.94043,10465.94043,4243320000,7.08%,1,1,0,0,1,1,0,0
2010-08-01,10468.82031,10719.94043,9936.620117,10014.71973,10014.71973,4117550000,-4.31%,-1,0,1,0,0,0,0,1
2010-09-01,10016.00977,10948.87988,10016.00977,10788.04981,10788.04981,3764970000,7.72%,1,1,0,0,1,1,0,0
2010-10-01,10789.71973,11247.59961,10711.12012,11118.49023,11118.49023,3787250000,3.06%,0,0,0,1,0,0,0,1
2010-11-01,11120.29981,11451.53027,10929.28027,11006.01953,11006.01953,3808130000,-1.01%,0,0,0,1,0,0,0,1
2010-12-01,11007.23047,11625,11007.23047,11577.50977,11577.50977,3252900000,5.19%,1,1,0,0,1,1,0,0
2011-01-01,11577.42969,12020.51953,11573.87012,11891.92969,11891.92969,3681720000,2.72%,0,0,0,1,0,0,0,1
2011-02-01,11892.5,12391.29004,11892.5,12226.33984,12226.33984,3220480000,2.81%,0,0,0,1,0,0,0,1
2011-03-01,12226.49023,12383.45996,11555.48047,12319.73047,12319.73047,3851830000,0.76%,0,0,0,1,0,0,0,1
2011-04-01,12321.01953,12832.83008,12093.88965,12810.54004,12810.54004,3321090000,3.98%,0,0,0,1,0,0,0,1
2011-05-01,12810.16016,12876,12309.51953,12569.79004,12569.79004,3578020000,-1.88%,0,0,0,1,0,0,0,1
2011-06-01,12569.41016,12569.49023,11862.53027,12414.33984,12414.33984,3876460000,-1.24%,0,0,0,1,0,0,0,1
