DATE,KORCPIALLMINMEI
1975-06-01,9.93780980516044
1975-07-01,10.1182188657981
1975-08-01,10.3379051757996
1975-09-01,10.697391864893
1975-10-01,10.8471779853486
1975-11-01,10.767292054439
1975-12-01,10.8172207612575
1976-01-01,10.8871209508034
1976-02-01,11.0069498471679
1976-03-01,11.1966789330783
1976-04-01,11.3165078294428
1976-05-01,11.3864080189887
1976-06-01,11.4962511739895
1976-07-01,11.7159374839911
1976-08-01,11.8357663803555
1976-09-01,11.9256380526289
1976-10-01,11.7958234149007
1976-11-01,11.785837673537
1976-12-01,11.8557378630829
1977-01-01,11.9456095353563
1977-02-01,12.2252102935401
1977-03-01,12.3949678967231
1977-04-01,12.4049536380868
1977-05-01,12.534768275815
1977-06-01,12.6545971721794
1977-07-01,12.8150347500897
1977-08-01,12.9847923532727
1977-09-01,13.0247353187275
1977-10-01,12.9847923532727
1977-11-01,13.0347210600912
1977-12-01,13.1545499564557
1978-01-01,13.5340081282765
1978-02-01,13.8136088864603
1978-03-01,13.993352231007
1978-04-01,13.9733807482796
1978-05-01,14.1131811273715
1978-06-01,14.502625040556
1978-07-01,14.7123256091938
1978-08-01,14.742282833285
1978-09-01,15.0418550741961
1978-10-01,15.1716697119243
1978-11-01,15.251555642834
1978-12-01,15.3114700910162
1979-01-01,15.4412847287444
1979-02-01,15.9811804784754
1979-03-01,16.2707669780229
1979-04-01,16.6701966325712
1979-05-01,17.1894551834839
1979-06-01,17.3492270453032
1979-07-01,17.4291129762128
1979-08-01,17.4890274243951
1979-09-01,17.728685217124
1979-10-01,17.8485141134885
1979-11-01,18.1181291303086
1979-12-01,18.5581674664026
1980-01-01,19.3623525042264
1980-02-01,20.2018204948686
1980-03-01,20.9534139615102
1980-04-01,21.1078600946022
1980-05-01,21.7709133211523
1980-06-01,22.0365340414269
1980-07-01,22.21361452161
1980-08-01,22.5890783968853
1980-09-01,23.0091452502519
1980-10-01,23.6502298458018
1980-11-01,23.7827073478937
1980-12-01,24.5343008145353
1981-01-01,24.9317333208108
1981-02-01,25.130782431994
1981-03-01,25.6174208944519
1981-04-01,25.8384386366353
1981-05-01,26.4129516230939
1981-06-01,27.1419107426444
1981-07-01,27.407531462919
1981-08-01,27.6951208141938
1981-09-01,28.048616058469
1981-10-01,27.9820444493776
1981-11-01,27.7390580761941
1981-12-01,27.893504209286
1982-01-01,28.0266474274688
1982-02-01,28.1591249295606
1982-03-01,28.4240799337443
1982-04-01,28.4686829118355
1982-05-01,28.6897006540189
1982-06-01,28.866115418111
1982-07-01,28.9326870272024
1982-08-01,29.0212272672939
1982-09-01,29.1537047693858
1982-10-01,29.0871331602944
1982-11-01,28.9107183962023
1982-12-01,29.2422450094773
1983-01-01,29.4632627516607
1983-02-01,29.661646146753
1983-03-01,29.7721550178446
1983-04-01,29.684280493844
1983-05-01,29.7721550178446
1983-06-01,29.7501863868445
1983-07-01,29.7501863868445
1983-08-01,29.7721550178446
1983-09-01,29.8167579959359
1983-10-01,29.7947893649357
1983-11-01,29.7282177558443
1983-12-01,29.8167579959359
1984-01-01,29.993172760028
1984-02-01,30.2587934803026
1984-03-01,30.3693023513943
1984-04-01,30.4578425914858
1984-05-01,30.4132396133946
1984-06-01,30.2587934803026
1984-07-01,30.2587934803026
1984-08-01,30.4132396133946
1984-09-01,30.7674005737607
1984-10-01,30.6122887245778
1984-11-01,30.5463828315773
1984-12-01,30.5463828315773
1985-01-01,30.626268762487
1985-02-01,30.8439579242158
1985-03-01,30.8752465804887
1985-04-01,30.9065352367617
1985-05-01,31.1248901145814
1985-06-01,31.1555130547634
1985-07-01,31.1555130547634
1985-08-01,31.2180903673093
1985-09-01,31.5609341541299
1985-10-01,31.6541344068578
1985-11-01,31.2806676798552
1985-12-01,31.467068185311
1986-01-01,31.7480003756766
1986-02-01,31.9344008811325
1986-03-01,31.9969781936784
1986-04-01,31.9656895374054
1986-05-01,32.1527557589522
1986-06-01,32.0901784464063
1986-07-01,32.1214671026793
1986-08-01,32.0901784464063
1986-09-01,32.2772446679531
1986-10-01,31.9656895374054
1986-11-01,31.9037779409505
1986-12-01,31.9037779409505
1987-01-01,32.0282668499513
1987-02-01,32.0901784464063
1987-03-01,32.339821980499
1987-04-01,32.5268882020457
1987-05-01,33.0248438380492
1987-06-01,32.9942208978672
1987-07-01,32.9003549290484
1987-08-01,33.3676876248698
1987-09-01,33.5860425026895
1987-10-01,33.6173311589624
1987-11-01,33.5547538464166
1987-12-01,33.8350203206913
1988-01-01,34.022086542238
1988-02-01,34.5826194907874
1988-03-01,35.0812408428818
1988-04-01,35.0193292464268
1988-05-01,35.2057297518827
1988-06-01,35.4240846297024
1988-07-01,35.4866619422483
1988-08-01,35.6730624477041
1988-09-01,35.7669284165229
1988-10-01,35.6730624477041
1988-11-01,35.9539946380697
1988-12-01,36.2655497686173
1989-01-01,36.3274613650723
1989-02-01,36.4519502740732
1989-03-01,36.7015938081658
1989-04-01,36.8573713734397
1989-05-01,37.3247040692611
1989-06-01,37.3866156657161
1989-07-01,37.3559927255341
1989-08-01,37.6362591998088
1989-09-01,37.9791029866293
1989-10-01,38.0723032393573
1989-11-01,38.1348805519032
1989-12-01,38.1035918956302
1990-01-01,38.985
1990-02-01,39.229
1990-03-01,39.635
1990-04-01,40.081
1990-05-01,40.527
1990-06-01,40.729
1990-07-01,40.851
1990-08-01,41.014
1990-09-01,41.258
1990-10-01,41.379
1990-11-01,41.42
1990-12-01,41.662
1991-01-01,42.555
1991-02-01,43.123
1991-03-01,43.651
1991-04-01,43.853
1991-05-01,43.975
1991-06-01,44.258
1991-07-01,44.543
1991-08-01,44.908
1991-09-01,45.152
1991-10-01,45.233
1991-11-01,45.435
1991-12-01,45.516
1992-01-01,45.841
1992-02-01,46.125
1992-03-01,46.612
1992-04-01,46.896
1992-05-01,47.18
1992-06-01,47.262
1992-07-01,47.464
1992-08-01,47.545
1992-09-01,47.707
1992-10-01,47.666
1992-11-01,47.423
1992-12-01,47.545
1993-01-01,47.91
1993-02-01,48.234
1993-03-01,48.843
1993-04-01,49.127
1993-05-01,49.29
1993-06-01,49.533
1993-07-01,49.493
1993-08-01,49.655
1993-09-01,49.898
1993-10-01,50.1
1993-11-01,50.019
1993-12-01,50.303
1994-01-01,50.953
1994-02-01,51.52
1994-03-01,51.966
1994-04-01,52.047
1994-05-01,52.088
1994-06-01,52.453
1994-07-01,52.9
1994-08-01,53.306
1994-09-01,53.143
1994-10-01,52.981
1994-11-01,53.063
1994-12-01,53.104
1995-01-01,53.601
1995-02-01,53.82
1995-03-01,54.368
1995-04-01,54.696
1995-05-01,54.806
1995-06-01,54.643
1995-07-01,54.806
1995-08-01,55.135
1995-09-01,55.628
1995-10-01,55.355
1995-11-01,55.245
1995-12-01,55.628
1996-01-01,56.176
1996-02-01,56.397
1996-03-01,56.78
1996-04-01,57.163
1996-05-01,57.492
1996-06-01,57.492
1996-07-01,57.766
1996-08-01,58.039
1996-09-01,58.15
1996-10-01,58.15
1996-11-01,58.15
1996-12-01,58.368
1997-01-01,58.808
1997-02-01,59.136
1997-03-01,59.355
1997-04-01,59.629
1997-05-01,59.684
1997-06-01,59.793
1997-07-01,59.903
1997-08-01,60.341
1997-09-01,60.617
1997-10-01,60.617
1997-11-01,60.67
1997-12-01,62.205
1998-01-01,63.685
1998-02-01,64.782
1998-03-01,64.672
1998-04-01,64.891
1998-05-01,64.562
1998-06-01,64.288
1998-07-01,64.288
1998-08-01,64.507
1998-09-01,64.782
1998-10-01,65.0
1998-11-01,64.782
1998-12-01,64.672
1999-01-01,64.617
1999-02-01,64.891
1999-03-01,65.0
1999-04-01,65.164
1999-05-01,65.055
1999-06-01,64.672
1999-07-01,64.452
1999-08-01,65.111
1999-09-01,65.275
1999-10-01,65.768
1999-11-01,65.658
1999-12-01,65.548
2000-01-01,65.839
2000-02-01,66.04
2000-03-01,66.372
2000-04-01,66.106
2000-05-01,65.773
2000-06-01,66.106
2000-07-01,66.372
2000-08-01,66.704
2000-09-01,67.57
2000-10-01,67.504
2000-11-01,67.104
2000-12-01,67.37
2001-01-01,68.103
2001-02-01,68.435
2001-03-01,69.035
2001-04-01,69.301
2001-05-01,69.234
2001-06-01,69.434
2001-07-01,69.567
2001-08-01,69.833
2001-09-01,69.767
2001-10-01,69.767
2001-11-01,69.368
2001-12-01,69.501
2002-01-01,69.9
2002-02-01,70.233
2002-03-01,70.632
2002-04-01,71.032
2002-05-01,71.298
2002-06-01,71.231
2002-07-01,71.032
2002-08-01,71.498
2002-09-01,71.898
2002-10-01,71.697
2002-11-01,71.764
2002-12-01,72.096
2003-01-01,72.564
2003-02-01,72.962
2003-03-01,73.828
2003-04-01,73.695
2003-05-01,73.562
2003-06-01,73.362
2003-07-01,73.296
2003-08-01,73.628
2003-09-01,74.294
2003-10-01,74.36
2003-11-01,74.227
2003-12-01,74.561
2004-01-01,75.027
2004-02-01,75.359
2004-03-01,76.091
2004-04-01,76.091
2004-05-01,76.025
2004-06-01,76.025
2004-07-01,76.491
2004-08-01,77.156
2004-09-01,77.156
2004-10-01,77.156
2004-11-01,76.691
2004-12-01,76.824
2005-01-01,77.58
2005-02-01,77.895
2005-03-01,78.365
2005-04-01,78.444
2005-05-01,78.365
2005-06-01,78.129
2005-07-01,78.444
2005-08-01,78.679
2005-09-01,79.071
2005-10-01,78.914
2005-11-01,78.6
2005-12-01,78.836
2006-01-01,79.306
2006-02-01,79.464
2006-03-01,79.934
2006-04-01,80.013
2006-05-01,80.169
2006-06-01,80.013
2006-07-01,80.326
2006-08-01,80.797
2006-09-01,81.032
2006-10-01,80.64
2006-11-01,80.248
2006-12-01,80.483
2007-01-01,80.64
2007-02-01,81.189
2007-03-01,81.66
2007-04-01,81.973
2007-05-01,82.052
2007-06-01,82.052
2007-07-01,82.366
2007-08-01,82.444
2007-09-01,82.915
2007-10-01,83.072
2007-11-01,83.072
2007-12-01,83.386
2008-01-01,83.777
2008-02-01,84.092
2008-03-01,84.876
2008-04-01,85.347
2008-05-01,86.052
2008-06-01,86.601
2008-07-01,87.229
2008-08-01,87.072
2008-09-01,87.151
2008-10-01,87.072
2008-11-01,86.837
2008-12-01,86.837
2009-01-01,86.916
2009-02-01,87.543
2009-03-01,88.17
2009-04-01,88.405
2009-05-01,88.405
2009-06-01,88.327
2009-07-01,88.641
2009-08-01,88.955
2009-09-01,89.034
2009-10-01,88.798
2009-11-01,88.955
2009-12-01,89.269
2010-01-01,89.974
2010-02-01,90.156
2010-03-01,90.338
2010-04-01,90.702
2010-05-01,90.793
2010-06-01,90.702
2010-07-01,90.884
2010-08-01,91.34
2010-09-01,92.068
2010-10-01,92.068
2010-11-01,91.613
2010-12-01,91.977
2011-01-01,93.07
2011-02-01,93.707
2011-03-01,94.072
2011-04-01,94.163
2011-05-01,94.345
2011-06-01,94.527
2011-07-01,94.982
2011-08-01,95.62
2011-09-01,95.529
2011-10-01,95.347
2011-11-01,95.438
2011-12-01,95.802
2012-01-01,96.184
2012-02-01,96.549
2012-03-01,96.576
2012-04-01,96.567
2012-05-01,96.74
2012-06-01,96.603
2012-07-01,96.385
2012-08-01,96.831
2012-09-01,97.523
2012-10-01,97.341
2012-11-01,96.995
2012-12-01,97.168
2013-01-01,97.751
2013-02-01,98.078
2013-03-01,97.987
2013-04-01,97.851
2013-05-01,97.851
2013-06-01,97.732
2013-07-01,97.942
2013-08-01,98.288
2013-09-01,98.479
2013-10-01,98.179
2013-11-01,98.16
2013-12-01,98.279
2014-01-01,98.807
2014-02-01,99.071
2014-03-01,99.253
2014-04-01,99.317
2014-05-01,99.481
2014-06-01,99.353
2014-07-01,99.499
2014-08-01,99.672
2014-09-01,99.608
2014-10-01,99.308
2014-11-01,99.108
2014-12-01,99.098
2015-01-01,99.77
2015-02-01,99.71
2015-03-01,99.72
2015-04-01,99.75
2015-05-01,100.03
2015-06-01,100.05
2015-07-01,100.23
2015-08-01,100.37
2015-09-01,100.11
2015-10-01,100.11
2015-11-01,99.92
2015-12-01,100.22
2016-01-01,100.39
2016-02-01,100.82
2016-03-01,100.56
2016-04-01,100.75
2016-05-01,100.81
2016-06-01,100.79
2016-07-01,100.6
2016-08-01,100.86
2016-09-01,101.46
2016-10-01,101.6
2016-11-01,101.45
2016-12-01,101.56
2017-01-01,102.64
2017-02-01,102.92
2017-03-01,102.85
2017-04-01,102.72
2017-05-01,102.83
2017-06-01,102.61
2017-07-01,102.78
2017-08-01,103.37
2017-09-01,103.49
2017-10-01,103.39
2017-11-01,102.62
2017-12-01,102.99
2018-01-01,103.42
2018-02-01,104.21
2018-03-01,104.1
2018-04-01,104.29
2018-05-01,104.34
2018-06-01,104.13
2018-07-01,103.93
2018-08-01,104.85
2018-09-01,105.65
2018-10-01,105.46
2018-11-01,104.71
2018-12-01,104.35
2019-01-01,104.24
2019-02-01,104.69
2019-03-01,104.49
2019-04-01,104.87
2019-05-01,105.05
