DATE,무역 가중치 미국 달러 인덱스
2015-10-19,112.5567
2015-10-20,112.6393
2015-10-21,113.0753
2015-10-22,112.7062
2015-10-23,112.6758
2015-10-26,112.498
2015-10-27,112.8029
2015-10-28,112.508
2015-10-29,113.0565
2015-10-30,112.5893
2015-11-02,112.5171
2015-11-03,112.134
2015-11-04,112.5302
2015-11-05,112.6424
2015-11-06,113.2683
2015-11-09,113.8179
2015-11-10,113.628
2015-11-11,0
2015-11-12,113.6399
2015-11-13,113.8093
2015-11-16,114.0587
2015-11-17,113.9479
2015-11-18,113.9658
2015-11-19,113.3017
2015-11-20,113.0837
2015-11-23,113.3462
2015-11-24,113.0278
2015-11-25,113.1508
2015-11-26,0
2015-11-27,113.5572
2015-11-30,113.5974
2015-12-01,113.3806
2015-12-02,113.5554
2015-12-03,113.645
2015-12-04,113.4856
2015-12-07,114.3841
2015-12-08,114.8021
2015-12-09,114.8198
2015-12-10,114.907
2015-12-11,115.8689
2015-12-14,115.9457
2015-12-15,115.4369
2015-12-16,115.6111
2015-12-17,116.0372
2015-12-18,115.643
2015-12-21,115.9558
2015-12-22,115.902
2015-12-23,115.6039
2015-12-24,115.8806
2015-12-25,0
2015-12-28,115.8267
2015-12-29,115.8098
2015-12-30,116.3446
2015-12-31,115.8782
2016-01-01,0
2016-01-04,116.9926
2016-01-05,116.8893
2016-01-06,117.4524
2016-01-07,118.0262
2016-01-08,118.6331
2016-01-11,118.5532
2016-01-12,118.5794
2016-01-13,118.3517
2016-01-14,118.5959
2016-01-15,119.4228
2016-01-18,0
2016-01-19,119.1656
2016-01-20,120.2012
2016-01-21,119.8371
2016-01-22,0
2016-01-25,0
2016-01-26,0
2016-01-27,119.3732
2016-01-28,119.1994
2016-01-29,118.9035
2016-02-01,118.9886
2016-02-02,119.5594
2016-02-03,119.2508
2016-02-04,118.3344
2016-02-05,118.92
2016-02-08,119.4215
2016-02-09,119.7036
2016-02-10,119.542
2016-02-11,120.3207
2016-02-12,120.0848
2016-02-15,0
2016-02-16,119.6926
2016-02-17,118.8146
2016-02-18,118.6682
2016-02-19,118.9457
2016-02-22,118.2406
2016-02-23,118.7557
2016-02-24,118.859
2016-02-25,118.6386
2016-02-26,118.9484
2016-02-29,118.669
2016-03-01,118.0861
2016-03-02,117.8335
2016-03-03,117.4815
2016-03-04,116.6954
2016-03-07,116.7883
2016-03-08,117.2462
2016-03-09,116.7141
2016-03-10,116.9936
2016-03-11,116.1792
2016-03-14,116.4479
2016-03-15,117.0453
2016-03-16,117.1352
2016-03-17,115.0923
2016-03-18,114.9119
2016-03-21,115.1337
2016-03-22,114.9674
2016-03-23,115.6973
2016-03-24,116.0258
2016-03-25,115.877
2016-03-28,115.5224
2016-03-29,115.6329
2016-03-30,114.5452
2016-03-31,114.1757
2016-04-01,114.6308
2016-04-04,115.014
2016-04-05,115.7436
2016-04-06,115.5098
2016-04-07,115.9472
2016-04-08,115.4712
2016-04-11,114.9707
2016-04-12,114.8053
2016-04-13,114.8916
2016-04-14,114.7126
2016-04-15,114.9545
2016-04-18,114.8126
2016-04-19,114.0627
2016-04-20,114.1008
2016-04-21,114.638
2016-04-22,115.0014
2016-04-25,115.1843
2016-04-26,114.7235
2016-04-27,114.7739
2016-04-28,114.1289
2016-04-29,114.062
2016-05-02,114.1649
2016-05-03,115.0621
2016-05-04,115.5991
2016-05-05,115.7797
2016-05-06,115.963
2016-05-09,116.5942
2016-05-10,116.2751
2016-05-11,115.8523
2016-05-12,116.3062
2016-05-13,116.7354
2016-05-16,116.7994
2016-05-17,116.8445
2016-05-18,117.3158
2016-05-19,118.0126
2016-05-20,117.6334
2016-05-23,117.8131
2016-05-24,117.8097
2016-05-25,117.7737
2016-05-26,117.6107
2016-05-27,117.7007
2016-05-30,0
2016-05-31,117.9421
2016-06-01,118.226
2016-06-02,118.3184
2016-06-03,117.7221
2016-06-06,117.5222
2016-06-07,117.0396
2016-06-08,116.2536
2016-06-09,116.6744
2016-06-10,117.2747
2016-06-13,117.9863
2016-06-14,118.4977
2016-06-15,118.0631
2016-06-16,118.4999
2016-06-17,118.0745
2016-06-20,117.4787
2016-06-21,117.4867
2016-06-22,117.1054
2016-06-23,116.5469
2016-06-24,118.2997
2016-06-27,119.2146
2016-06-28,118.4354
2016-06-29,117.3458
2016-06-30,117.312
2016-07-01,117.1219
2016-07-04,0
2016-07-05,118.1731
2016-07-06,118.2685
2016-07-07,118.3807
2016-07-08,117.6995
2016-07-11,117.6121
2016-07-12,117.11
2016-07-13,117.2783
2016-07-14,116.8266
2016-07-15,117.325
2016-07-18,117.341
2016-07-19,117.5599
2016-07-20,117.5447
2016-07-21,117.5679
2016-07-22,117.6343
2016-07-25,118.0373
