DATE,중국 차이신 PMI Actual,Consensus,Previous,Revised
2011-02-21,51.5,,54.5,
2011-02-01,54.5,,54.4,
2010-12-30,54.4,,55.3,
2010-12-01,55.3,55.4,54.8,
2010-11-01,54.8,,55.2,
2010-10-05,55.2,,51.9,57
2010-09-01,51.9,,49.4,
2010-08-02,49.4,,50.4,
2010-07-01,50.4,,52.7,
2010-06-01,52.7,,55.2,
2010-05-01,55.2,,57.6,
2010-04-01,57.6,,55.8,
2010-03-01,55.8,,57.4,
2010-02-01,57.4,,,
