,feature,precision
140,"['Volume', 'CSUSHPINSA', 'KORPROINDMISMEI']",0.0
141,"['Volume', 'CSUSHPINSA', 'KORCPIALLMINMEI']",0.325
142,"['Volume', 'CSUSHPINSA', 'LRUNTTTTKRM156S']",0.3333333333333333
143,"['Volume', 'CSUSHPINSA', '한국실업률']",0.0
144,"['Volume', 'CSUSHPINSA', 'IR3TCD01KRM156N']",0.34210526315789475
145,"['Volume', 'CSUSHPINSA', '환율평균']",0.25
146,"['Volume', 'PCE', 'LREMTTTTUSM156S']",0.3488372093023256
147,"['Volume', 'PCE', 'DGORDER']",0.325
148,"['Volume', 'PCE', 'TWEXBMTH']",0.3488372093023256
149,"['Volume', 'PCE', 'UNRATENSA']",0.3409090909090909
150,"['Volume', 'PCE', 'TCU']",0.3488372093023256
151,"['Volume', 'PCE', 'INDPRO']",0.23076923076923078
152,"['Volume', 'PCE', 'PPIACO']",0.3488372093023256
153,"['Volume', 'PCE', 'CPIAUCSL']",0.3409090909090909
154,"['Volume', 'PCE', 'HOUST']",0.3409090909090909
155,"['Volume', 'PCE', 'HSN1F']",0.3409090909090909
156,"['Volume', 'PCE', 'FEDFUNDS']",0.3488372093023256
157,"['Volume', 'PCE', 'USSLIND']",0.42105263157894735
158,"['Volume', 'PCE', 'TOTALSA']",0.4166666666666667
159,"['Volume', 'PCE', 'NEWORDER']",0.3409090909090909
160,"['Volume', 'PCE', '서울아파트매매가격지수']",0.3488372093023256
161,"['Volume', 'PCE', 'AMBNS']",0.3409090909090909
162,"['Volume', 'PCE', '자가주거비포함지수']",0.3488372093023256
163,"['Volume', 'PCE', '자가주거비']",0.3488372093023256
164,"['Volume', 'PCE', '수출물가지수']",0.3409090909090909
165,"['Volume', 'PCE', 'EXJPUS']",0.3409090909090909
166,"['Volume', 'PCE', 'EXKOUS']",0.3409090909090909
167,"['Volume', 'PCE', 'EXCHUS']",0.3488372093023256
168,"['Volume', 'PCE', 'T10Y2YM']",0.3409090909090909
169,"['Volume', 'PCE', 'XTEXVA01CNM667S']",0.3488372093023256
