,feature,accuracy,precision,recall
2073,"['경상수지', 'DGORDER', '수출물가지수']",0.837837838,1,0.25
2085,"['경상수지', 'DGORDER', '한국실업률']",0.810810811,1,0.125
2145,"['경상수지', 'UNRATENSA', 'LRUNTTTTKRM156S']",0.837837838,1,0.25
2176,"['경상수지', 'TCU', 'IR3TCD01KRM156N']",0.810810811,1,0.125
2179,"['경상수지', 'INDPRO', 'RMFSL']",0.810810811,1,0.125
2181,"['경상수지', 'INDPRO', 'HOUST']",0.810810811,1,0.125
2185,"['경상수지', 'INDPRO', 'TOTALSA']",0.837837838,1,0.25
2191,"['경상수지', 'INDPRO', '수출물가지수']",0.810810811,1,0.125
2234,"['경상수지', 'RMFSL', 'HOUST']",0.810810811,1,0.125
2284,"['경상수지', 'HOUST', 'HSN1F']",0.837837838,1,0.25
2285,"['경상수지', 'HOUST', 'FEDFUNDS']",0.810810811,1,0.125
2288,"['경상수지', 'HOUST', 'UMCSENT']",0.810810811,1,0.125
2289,"['경상수지', 'HOUST', '서울아파트매매가격지수']",0.810810811,1,0.125
2294,"['경상수지', 'HOUST', 'EXJPUS']",0.810810811,1,0.125
2300,"['경상수지', 'HOUST', 'GACDFSA066MSFRBPHI']",0.810810811,1,0.125
2316,"['경상수지', 'HSN1F', '수출물가지수']",0.837837838,1,0.25
2321,"['경상수지', 'HSN1F', '정책금리']",0.837837838,1,0.25
2333,"['경상수지', 'FEDFUNDS', 'UMCSENT']",0.810810811,1,0.125
2338,"['경상수지', 'FEDFUNDS', '수출물가지수']",0.810810811,1,0.125
2379,"['경상수지', 'TOTALSA', '수출물가지수']",0.864864865,1,0.375
2380,"['경상수지', 'TOTALSA', 'EXJPUS']",0.810810811,1,0.125
2390,"['경상수지', 'TOTALSA', 'LRUNTTTTKRM156S']",0.864864865,1,0.375
2392,"['경상수지', 'TOTALSA', 'IR3TCD01KRM156N']",0.864864865,1,0.375
2398,"['경상수지', 'UMCSENT', '수출물가지수']",0.837837838,1,0.25
2400,"['경상수지', 'UMCSENT', 'EXKOUS']",0.810810811,1,0.125
2409,"['경상수지', 'UMCSENT', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2410,"['경상수지', 'UMCSENT', '한국실업률']",0.837837838,1,0.25
2411,"['경상수지', 'UMCSENT', 'IR3TCD01KRM156N']",0.837837838,1,0.25
2416,"['경상수지', '서울아파트매매가격지수', '수출물가지수']",0.810810811,1,0.125
2455,"['경상수지', '자가주거비포함지수', '통화량']",0.810810811,1,0.125
2470,"['경상수지', '자가주거비', '통화량']",0.810810811,1,0.125
2475,"['경상수지', '자가주거비', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2479,"['경상수지', '수출물가지수', 'EXJPUS']",0.837837838,1,0.25
2480,"['경상수지', '수출물가지수', 'EXKOUS']",0.810810811,1,0.125
2489,"['경상수지', '수출물가지수', 'LRUNTTTTKRM156S']",0.837837838,1,0.25
2507,"['경상수지', 'EXKOUS', 'XTEXVA01CNM667S']",0.810810811,1,0.125
2535,"['경상수지', 'XTEXVA01CNM667S', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2539,"['경상수지', '정책금리', '통화량']",0.810810811,1,0.125
2552,"['경상수지', '통화량', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2554,"['경상수지', '통화량', 'IR3TCD01KRM156N']",0.810810811,1,0.125
2573,"['경상수지', 'KORPROINDMISMEI', '환율평균']",0.810810811,1,0.125
2588,"['상품수지', 'BAA', 'PCE']",0.810810811,1,0.125
2608,"['상품수지', 'BAA', '수출물가지수']",0.810810811,1,0.125
2626,"['상품수지', 'UNRATE', 'PCE']",0.810810811,1,0.125
2627,"['상품수지', 'UNRATE', 'LREMTTTTUSM156S']",0.810810811,1,0.125
2632,"['상품수지', 'UNRATE', 'INDPRO']",0.810810811,1,0.125
2637,"['상품수지', 'UNRATE', 'HSN1F']",0.810810811,1,0.125
2641,"['상품수지', 'UNRATE', 'UMCSENT']",0.810810811,1,0.125
2660,"['상품수지', 'UNRATE', '환율평균']",0.810810811,1,0.125
2662,"['상품수지', 'T10Y2YM', 'CSUSHPINSA']",0.864864865,1,0.375
2663,"['상품수지', 'T10Y2YM', 'PCE']",0.810810811,1,0.125
2666,"['상품수지', 'T10Y2YM', 'TWEXBMTH']",0.810810811,1,0.125
2675,"['상품수지', 'T10Y2YM', 'FEDFUNDS']",0.810810811,1,0.125
2678,"['상품수지', 'T10Y2YM', 'UMCSENT']",0.810810811,1,0.125
2683,"['상품수지', 'T10Y2YM', '수출물가지수']",0.837837838,1,0.25
2684,"['상품수지', 'T10Y2YM', 'EXJPUS']",0.810810811,1,0.125
2688,"['상품수지', 'T10Y2YM', '정책금리']",0.810810811,1,0.125
2694,"['상품수지', 'T10Y2YM', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2695,"['상품수지', 'T10Y2YM', '한국실업률']",0.837837838,1,0.25
2696,"['상품수지', 'T10Y2YM', 'IR3TCD01KRM156N']",0.810810811,1,0.125
2699,"['상품수지', 'NEWORDER', 'PCE']",0.810810811,1,0.125
2702,"['상품수지', 'NEWORDER', 'TWEXBMTH']",0.810810811,1,0.125
2708,"['상품수지', 'NEWORDER', 'CPIAUCSL']",0.810810811,1,0.125
2713,"['상품수지', 'NEWORDER', 'TOTALSA']",0.810810811,1,0.125
2715,"['상품수지', 'NEWORDER', '서울아파트매매가격지수']",0.810810811,1,0.125
2726,"['상품수지', 'NEWORDER', 'GACDFSA066MSFRBPHI']",0.810810811,1,0.125
2727,"['상품수지', 'NEWORDER', 'XTIMVA01KRM667S']",0.810810811,1,0.125
2734,"['상품수지', 'CSUSHPINSA', 'PCE']",0.810810811,1,0.125
2735,"['상품수지', 'CSUSHPINSA', 'LREMTTTTUSM156S']",0.810810811,1,0.125
2737,"['상품수지', 'CSUSHPINSA', 'TWEXBMTH']",0.810810811,1,0.125
2742,"['상품수지', 'CSUSHPINSA', 'RMFSL']",0.810810811,1,0.125
2745,"['상품수지', 'CSUSHPINSA', 'HSN1F']",0.810810811,1,0.125
2746,"['상품수지', 'CSUSHPINSA', 'FEDFUNDS']",0.810810811,1,0.125
2755,"['상품수지', 'CSUSHPINSA', 'EXJPUS']",0.810810811,1,0.125
2757,"['상품수지', 'CSUSHPINSA', 'EXCHUS']",0.810810811,1,0.125
2759,"['상품수지', 'CSUSHPINSA', '정책금리']",0.810810811,1,0.125
2766,"['상품수지', 'CSUSHPINSA', '한국실업률']",0.810810811,1,0.125
2767,"['상품수지', 'CSUSHPINSA', 'IR3TCD01KRM156N']",0.810810811,1,0.125
2768,"['상품수지', 'CSUSHPINSA', '환율평균']",0.810810811,1,0.125
2769,"['상품수지', 'PCE', 'LREMTTTTUSM156S']",0.810810811,1,0.125
2770,"['상품수지', 'PCE', 'DGORDER']",0.810810811,1,0.125
2771,"['상품수지', 'PCE', 'TWEXBMTH']",0.810810811,1,0.125
2772,"['상품수지', 'PCE', 'UNRATENSA']",0.810810811,1,0.125
2773,"['상품수지', 'PCE', 'TCU']",0.810810811,1,0.125
2774,"['상품수지', 'PCE', 'INDPRO']",0.810810811,1,0.125
2775,"['상품수지', 'PCE', 'PPIACO']",0.810810811,1,0.125
2776,"['상품수지', 'PCE', 'RMFSL']",0.810810811,1,0.125
2778,"['상품수지', 'PCE', 'HOUST']",0.810810811,1,0.125
2779,"['상품수지', 'PCE', 'HSN1F']",0.810810811,1,0.125
2780,"['상품수지', 'PCE', 'FEDFUNDS']",0.810810811,1,0.125
2781,"['상품수지', 'PCE', 'USSLIND']",0.810810811,1,0.125
2782,"['상품수지', 'PCE', 'TOTALSA']",0.810810811,1,0.125
2783,"['상품수지', 'PCE', 'UMCSENT']",0.810810811,1,0.125
2784,"['상품수지', 'PCE', '서울아파트매매가격지수']",0.810810811,1,0.125
2785,"['상품수지', 'PCE', 'AMBNS']",0.810810811,1,0.125
2786,"['상품수지', 'PCE', '자가주거비포함지수']",0.810810811,1,0.125
2787,"['상품수지', 'PCE', '자가주거비']",0.810810811,1,0.125
2788,"['상품수지', 'PCE', '수출물가지수']",0.837837838,1,0.25
2789,"['상품수지', 'PCE', 'EXJPUS']",0.810810811,1,0.125
2791,"['상품수지', 'PCE', 'EXCHUS']",0.810810811,1,0.125
2792,"['상품수지', 'PCE', 'XTEXVA01CNM667S']",0.810810811,1,0.125
2793,"['상품수지', 'PCE', '정책금리']",0.810810811,1,0.125
2794,"['상품수지', 'PCE', '통화량']",0.810810811,1,0.125
2795,"['상품수지', 'PCE', 'GACDFSA066MSFRBPHI']",0.810810811,1,0.125
2796,"['상품수지', 'PCE', 'XTIMVA01KRM667S']",0.810810811,1,0.125
2797,"['상품수지', 'PCE', 'KORPROINDMISMEI']",0.810810811,1,0.125
2798,"['상품수지', 'PCE', 'KORCPIALLMINMEI']",0.810810811,1,0.125
2799,"['상품수지', 'PCE', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2800,"['상품수지', 'PCE', '한국실업률']",0.810810811,1,0.125
2801,"['상품수지', 'PCE', 'IR3TCD01KRM156N']",0.810810811,1,0.125
2802,"['상품수지', 'PCE', '환율평균']",0.810810811,1,0.125
2805,"['상품수지', 'LREMTTTTUSM156S', 'UNRATENSA']",0.864864865,1,0.375
2807,"['상품수지', 'LREMTTTTUSM156S', 'INDPRO']",0.864864865,1,0.375
2809,"['상품수지', 'LREMTTTTUSM156S', 'RMFSL']",0.810810811,1,0.125
2816,"['상품수지', 'LREMTTTTUSM156S', 'UMCSENT']",0.810810811,1,0.125
2821,"['상품수지', 'LREMTTTTUSM156S', '수출물가지수']",0.810810811,1,0.125
2826,"['상품수지', 'LREMTTTTUSM156S', '정책금리']",0.810810811,1,0.125
