,DATE,미국 내구재 주문,미국 비농업 고용자수,미국 비농업 급여,미국 소비율,미국 소비자 물가 상승률,미국 신규 실업수당 청구건수,미국 신규주택착공,미국 신규주택판매 지수,미국 실업률,"미국 항공기 제외, 비국방 자본재 주문",컨퍼런스보드 소비자 심리지수,Close
200,2008-10-01,192688.0,136288.0,136288,9960.3,216.995,3731000.0,777.0,393.0,6.5,59439.0,38.0,1211.172172
201,2008-11-01,182787.0,135561.0,135561,9820.8,213.153,7081400.0,652.0,389.0,6.8,60513.0,82.9,2466.792984
202,2008-12-01,172687.0,134857.0,134857,9730.7,211.398,13374000.0,560.0,377.0,7.3,55732.0,121.5,3260.945201
203,2009-01-01,155015.0,134074.0,134074,9783.8,211.933,15560400.0,490.0,336.0,7.8,49523.0,159.2,5103.83419
204,2009-02-01,146293.0,133332.0,133332,9766.0,212.705,5297000.0,582.0,372.0,8.3,50247.0,25.3,1139.745483
205,2009-03-01,144866.0,132529.0,132529,9718.5,212.495,5765750.0,505.0,339.0,8.7,48959.0,26.9,1140.454543
206,2009-04-01,145613.0,131835.0,131835,9724.8,212.709,6184500.0,478.0,337.0,9.0,47043.0,40.8,1322.098178
207,2009-05-01,150082.0,131491.0,131491,9748.9,213.02200000000002,6525600.0,540.0,376.0,9.4,48777.0,54.8,1400.497899
208,2009-06-01,146586.0,131026.0,131026,9806.9,214.79,6534250.0,585.0,393.0,9.5,50508.0,49.3,1395.243181
209,2009-07-01,155213.0,130685.0,130685,9841.7,214.726,6139000.0,594.0,411.0,9.5,51053.0,47.4,1460.033044
210,2009-08-01,158266.0,130501.0,130501,9961.0,215.445,6047800.0,586.0,418.0,9.6,50126.0,54.5,1577.907134
211,2009-09-01,157059.0,130259.0,130259,9883.4,215.861,5984750.0,585.0,386.0,9.8,52991.0,53.4,1659.446822
212,2009-10-01,163669.0,130061.0,130061,9931.9,216.50900000000001,5765600.0,534.0,396.0,10.0,52061.0,48.7,1630.6128509999999
213,2009-11-01,160032.0,130073.0,130073,9940.5,217.234,12667500.0,588.0,375.0,9.9,52778.0,99.3,3213.290469
214,2009-12-01,159766.0,129804.0,129804,9998.9,217.347,17809250.0,581.0,352.0,9.9,54427.0,152.9,4859.9276119999995
215,2010-01-01,182084.0,129807.0,129807,10001.8,217.488,19086400.0,614.0,345.0,9.8,52365.0,209.4,6785.081494
216,2010-02-01,177621.0,129715.0,129715,10030.6,217.28099999999998,4793750.0,604.0,336.0,9.8,53386.0,46.0,1598.956325
217,2010-03-01,179916.0,129895.0,129895,10089.1,217.35299999999998,4731750.0,636.0,381.0,9.9,56130.0,52.3,1665.504078
218,2010-04-01,186063.0,130132.0,130132,10112.9,217.403,4728000.0,687.0,422.0,9.9,52604.0,57.7,1730.2868260000002
219,2010-05-01,186327.0,130666.0,130666,10131.0,217.29,4674800.0,583.0,280.0,9.6,57162.0,62.7,1648.299997
220,2010-06-01,187821.0,130530.0,130530,10151.4,217.199,4583250.0,536.0,305.0,9.4,59728.0,54.3,1691.208566
221,2010-07-01,190184.0,130442.0,130442,10184.7,217.605,4528600.0,546.0,283.0,9.4,56453.0,51.0,1731.122725
222,2010-08-01,191625.0,130437.0,130437,10228.2,217.923,4461250.0,599.0,282.0,9.5,58633.0,53.2,1762.1836440000002
