DATE,DGORDER
2003-05-01,171542.0
2003-06-01,173507.0
2003-07-01,173320.0
2003-08-01,173044.0
2003-09-01,178690.0
2003-10-01,183704.0
2003-11-01,181685.0
2003-12-01,181513.0
2004-01-01,178696.0
2004-02-01,181662.0
2004-03-01,190869.0
2004-04-01,184368.0
2004-05-01,183459.0
2004-06-01,185640.0
2004-07-01,186835.0
2004-08-01,183728.0
2004-09-01,188444.0
2004-10-01,185187.0
2004-11-01,192545.0
2004-12-01,193578.0
2005-01-01,194875.0
2005-02-01,196475.0
2005-03-01,186608.0
2005-04-01,194847.0
2005-05-01,206623.0
2005-06-01,210020.0
2005-07-01,194475.0
2005-08-01,204839.0
2005-09-01,203997.0
2005-10-01,209901.0
2005-11-01,220733.0
2005-12-01,221499.0
2006-01-01,209540.0
2006-02-01,219738.0
2006-03-01,227188.0
2006-04-01,214625.0
2006-05-01,215819.0
2006-06-01,221220.0
2006-07-01,209494.0
2006-08-01,210473.0
2006-09-01,234701.0
2006-10-01,216952.0
2006-11-01,224809.0
2006-12-01,229243.0
2007-01-01,221030.0
2007-02-01,223217.0
2007-03-01,229902.0
2007-04-01,231627.0
2007-05-01,228551.0
2007-06-01,229061.0
2007-07-01,234576.0
2007-08-01,234833.0
2007-09-01,226029.0
2007-10-01,229287.0
2007-11-01,231388.0
2007-12-01,242350.0
2008-01-01,239668.0
2008-02-01,234718.0
2008-03-01,232240.0
2008-04-01,230662.0
2008-05-01,230680.0
2008-06-01,228442.0
2008-07-01,220810.0
2008-08-01,216342.0
2008-09-01,211692.0
2008-10-01,192688.0
2008-11-01,182787.0
2008-12-01,172687.0
2009-01-01,155015.0
2009-02-01,146293.0
2009-03-01,144866.0
2009-04-01,145613.0
2009-05-01,150082.0
2009-06-01,146586.0
2009-07-01,155213.0
2009-08-01,158266.0
2009-09-01,157059.0
2009-10-01,163669.0
2009-11-01,160032.0
2009-12-01,159766.0
2010-01-01,182084.0
2010-02-01,177621.0
2010-03-01,179916.0
2010-04-01,186063.0
2010-05-01,186327.0
2010-06-01,187821.0
2010-07-01,190184.0
2010-08-01,191625.0
2010-09-01,200257.0
2010-10-01,194567.0
2010-11-01,196177.0
2010-12-01,194518.0
2011-01-01,203534.0
2011-02-01,195611.0
2011-03-01,210937.0
2011-04-01,201546.0
2011-05-01,205957.0
2011-06-01,201861.0
2011-07-01,207547.0
2011-08-01,215526.0
2011-09-01,207678.0
2011-10-01,208606.0
2011-11-01,217018.0
2011-12-01,226369.0
2012-01-01,224023.0
2012-02-01,226122.0
2012-03-01,220455.0
2012-04-01,218051.0
2012-05-01,218474.0
2012-06-01,218603.0
2012-07-01,223677.0
2012-08-01,203112.0
2012-09-01,216283.0
2012-10-01,217712.0
2012-11-01,218940.0
2012-12-01,229511.0
2013-01-01,218392.0
2013-02-01,229342.0
2013-03-01,210493.0
2013-04-01,221382.0
2013-05-01,230679.0
2013-06-01,240657.0
2013-07-01,214999.0
2013-08-01,222323.0
2013-09-01,230374.0
2013-10-01,225155.0
2013-11-01,238012.0
2013-12-01,230535.0
2014-01-01,223000.0
2014-02-01,230424.0
2014-03-01,232316.0
2014-04-01,235841.0
2014-05-01,231767.0
2014-06-01,235877.0
2014-07-01,290623.0
2014-08-01,237140.0
2014-09-01,235558.0
2014-10-01,231044.0
2014-11-01,227599.0
2014-12-01,224958.0
2015-01-01,228061.0
2015-02-01,219271.0
2015-03-01,228045.0
2015-04-01,226242.0
2015-05-01,217850.0
2015-06-01,229480.0
2015-07-01,228826.0
2015-08-01,225666.0
2015-09-01,220050.0
2015-10-01,226171.0
2015-11-01,224077.0
2015-12-01,221066.0
2016-01-01,226398.0
2016-02-01,217882.0
2016-03-01,216926.0
2016-04-01,225797.0
2016-05-01,220851.0
2016-06-01,208990.0
2016-07-01,216738.0
2016-08-01,220654.0
2016-09-01,219736.0
2016-10-01,231303.0
2016-11-01,219574.0
2016-12-01,224108.0
2017-01-01,223049.0
2017-02-01,222023.0
2017-03-01,228253.0
2017-04-01,228086.0
2017-05-01,227201.0
2017-06-01,243829.0
2017-07-01,224989.0
2017-08-01,229906.0
2017-09-01,242818.0
2017-10-01,235856.0
2017-11-01,238976.0
2017-12-01,245755.0
2018-01-01,236368.0
2018-02-01,248330.0
2018-03-01,251696.0
2018-04-01,248509.0
2018-05-01,250389.0
2018-06-01,250063.0
2018-07-01,247899.0
2018-08-01,258372.0
2018-09-01,262205.0
2018-10-01,250552.0
2018-11-01,251931.0
2018-12-01,254801.0
2019-01-01,256134.0
2019-02-01,249569.0
2019-03-01,253834.0
2019-04-01,246609.0
2019-05-01,243498.0
