DATE,XTEXVA01CNM667S
2016-10-01,178258229092.27
2016-11-01,177218472539.809
2016-12-01,181258532575.279
2017-01-01,180952290839.307
2017-02-01,181883765767.575
2017-03-01,196802525024.158
2017-04-01,187065865084.516
2017-05-01,184508044192.44598
2017-06-01,189196672378.364
2017-07-01,188275042282.642
2017-08-01,187716595838.15
2017-09-01,187032059293.851
2017-10-01,187253770613.175
2017-11-01,198835307326.38
2017-12-01,205448991197.801
2018-01-01,195936434481.103
2018-02-01,262639208001.22498
2018-03-01,191897403493.527
2018-04-01,203982998791.54498
2018-05-01,205116168657.19
2018-06-01,209915271931.762
2018-07-01,206195090001.713
2018-08-01,205119712813.2
2018-09-01,215502222703.88998
2018-10-01,211827965880.68503
2018-11-01,208256480189.311
2018-12-01,198539974053.967
2019-01-01,212828713247.135
2019-02-01,208266674572.548
2019-03-01,221357771065.734
2019-04-01,194003306647.23898
