DATE,XTIMVA01KRM667S
1995-09-01,12204134720
1995-10-01,11697972843
1995-11-01,11559753140
1995-12-01,11372040877
1996-01-01,12316923829
1996-02-01,12221704936
1996-03-01,11869762113
1996-04-01,12398427855
1996-05-01,12303471299
1996-06-01,12034631703
1996-07-01,12565793968
1996-08-01,13353240219
1996-09-01,11983748654
1996-10-01,13224895523
1996-11-01,13240992659
1996-12-01,12852669545
1997-01-01,12739585823
1997-02-01,12277358639
1997-03-01,12756338310
1997-04-01,12525564636
1997-05-01,12180450111
1997-06-01,12398143630
1997-07-01,12504931860
1997-08-01,12088638770
1997-09-01,11897534635
1997-10-01,12279549377
1997-11-01,11821771935
1997-12-01,9480780335
1998-01-01,7735058212
1998-02-01,8417403283
1998-03-01,7936460808
1998-04-01,8031673871
1998-05-01,7695953588
1998-06-01,7682436315
1998-07-01,7024142840
1998-08-01,7490362843
1998-09-01,7462813874
1998-10-01,7597929774
1998-11-01,8244318903
1998-12-01,8055203775
1999-01-01,9050613159
1999-02-01,8144347575
1999-03-01,8730976781
1999-04-01,8908508719
1999-05-01,9616101169
1999-06-01,10139628365
1999-07-01,9868172855
1999-08-01,10176029587
1999-09-01,10393839138
1999-10-01,11488131517
1999-11-01,11396732376
1999-12-01,11758382457
2000-01-01,13173038611
2000-02-01,12742180028
2000-03-01,13325321082
2000-04-01,13574553488
2000-05-01,13038285402
2000-06-01,13126136509
2000-07-01,14051804560
2000-08-01,13609980719
2000-09-01,13859270093
2000-10-01,13987962298
2000-11-01,13758785713
2000-12-01,12836716799
2001-01-01,12497771598
2001-02-01,13551165025
2001-03-01,12370670117
2001-04-01,11193185579
2001-05-01,11366302482
2001-06-01,11923838787
2001-07-01,11194888011
2001-08-01,11473232180
2001-09-01,12410710314
2001-10-01,11198264958
2001-11-01,11212478752
2001-12-01,11041191565
2002-01-01,11367089283
2002-02-01,11143217709
2002-03-01,11665533261
2002-04-01,12291510242
2002-05-01,12507363088
2002-06-01,12404625834
2002-07-01,12872408769
2002-08-01,13255773692
2002-09-01,13494684238
2002-10-01,13445534004
2002-11-01,13873343189
2002-12-01,13878552655
2003-01-01,14518782057
2003-02-01,14742944306
2003-03-01,15434783633
2003-04-01,14428600888
2003-05-01,13589082046
2003-06-01,13718247642
2003-07-01,14700447508
2003-08-01,14218138726
2003-09-01,14804715901
2003-10-01,16093823004
2003-11-01,15940898944
2003-12-01,16638489996
2004-01-01,16525322079
2004-02-01,18847300701
2004-03-01,17917700865
2004-04-01,18392174798
2004-05-01,18325601427
2004-06-01,18594293137
2004-07-01,18466609224
2004-08-01,18635066916
2004-09-01,18509113890
2004-10-01,20647979784
2004-11-01,19790724806
2004-12-01,19838745337
2005-01-01,20179866117
2005-02-01,19626452702
2005-03-01,21388277305
2005-04-01,21148121331
2005-05-01,21252190749
2005-06-01,21349776086
2005-07-01,21970765990
2005-08-01,22138835434
2005-09-01,23061132084
2005-10-01,22958179691
2005-11-01,23249952013
2005-12-01,23369714466
2006-01-01,23462498620
2006-02-01,25133187629
2006-03-01,24421134346
2006-04-01,24841824107
2006-05-01,25816023988
2006-06-01,26096981650
2006-07-01,26048336370
2006-08-01,27128066013
2006-09-01,28542330095
2006-10-01,25521305598
2006-11-01,26100531572
2006-12-01,27145655975
2007-01-01,27413852129
2007-02-01,27225885743
