DATE,KORPROINDMISMEI
2004-08-01,61.7381448454038
2004-09-01,63.2632719393283
2004-10-01,62.9332444370364
2004-11-01,63.8863238603217
2004-12-01,63.1022585215435
2005-01-01,65.0724227018918
2005-02-01,63.4392866072173
2005-03-01,65.4184515376281
2005-04-01,64.7343945328777
2005-05-01,64.4563713642804
2005-06-01,65.1144262021835
2005-07-01,65.6274689557463
2005-08-01,65.6724727060588
2005-09-01,66.5125427118927
2005-10-01,67.7206433869489
2005-11-01,70.5888824068672
2005-12-01,68.8607383948662
2006-01-01,71.5369614134511
2006-02-01,70.4188682390199
2006-03-01,71.1069255771314
2006-04-01,70.5438786565547
2006-05-01,71.7889824152013
2006-06-01,71.0349195766314
2006-07-01,67.4266188849071
2006-08-01,72.2680223351946
2006-09-01,73.9891657638136
2006-10-01,76.2913576131344
2006-11-01,75.6313026085507
2006-12-01,72.6140511709309
2007-01-01,73.7791482623552
2007-02-01,74.317193099425
2007-03-01,73.6661388449037
2007-04-01,75.1002583548629
2007-05-01,75.8313192766064
2007-06-01,75.5752979414951
2007-07-01,76.3443620301692
2007-08-01,78.7375614634553
2007-09-01,78.2195182931911
2007-10-01,81.4717893157763
2007-11-01,81.5347945662139
2007-12-01,80.6897241436786
2008-01-01,82.8819068255688
2008-02-01,82.4098674889574
2008-03-01,82.8849070755896
2008-04-01,83.5269605800483
2008-05-01,82.7808984082007
2008-06-01,82.0648387365614
2008-07-01,81.5527960663389
2008-08-01,81.6348029002417
2008-09-01,80.992749395783
2008-10-01,80.3266938911576
2008-11-01,71.6499708309026
2008-12-01,63.9913326110509
2009-01-01,65.7214767897325
2009-02-01,70.5348779064922
2009-03-01,73.4651220935078
2009-04-01,76.2413534461205
2009-05-01,77.0924243686974
2009-06-01,80.1336778064839
2009-07-01,82.0688390699225
2009-08-01,82.7368947412284
2009-09-01,86.1481790149179
2009-10-01,84.5520460038336
2009-11-01,85.0680890074173
2009-12-01,86.2241853487791
2010-01-01,87.3542795232936
2010-02-01,89.0054171180932
2010-03-01,90.1595132927744
2010-04-01,91.6406367197266
2010-05-01,92.5787148929077
2010-06-01,92.8037336444704
2010-07-01,93.4247853987832
2010-08-01,92.9487457288108
2010-09-01,93.599799983332
2010-10-01,93.4507875656305
2010-11-01,94.2528544045337
2010-12-01,95.751979331611
2011-01-01,98.6362196849737
2011-02-01,95.5799649970831
2011-03-01,98.0401700141678
2011-04-01,96.8090674222852
2011-05-01,97.7381448454038
2011-06-01,98.1931827652304
2011-07-01,98.170180848404
2011-08-01,97.915159596633
2011-09-01,98.7082256854738
2011-10-01,99.1592632719393
2011-11-01,97.8771564297025
2011-12-01,96.3290274189516
2012-01-01,99.1452621051754
2012-02-01,101.415451287607
2012-03-01,98.9192432702725
2012-04-01,99.8763230269189
2012-05-01,100.982415201267
2012-06-01,98.8452371030919
2012-07-01,98.0841736811401
2012-08-01,96.6130510875906
2012-09-01,97.8311525960496
2012-10-01,99.7013084423702
2012-11-01,100.890407533961
2012-12-01,100.591382615218
2013-01-01,101.831485957163
2013-02-01,100.215351279273
2013-03-01,98.6202183515293
2013-04-01,99.5942995249604
2013-05-01,99.4032836069672
2013-06-01,99.0462538544879
2013-07-01,98.3781981831819
2013-08-01,99.9713309442454
2013-09-01,98.3691974331194
2013-10-01,101.286440536711
2013-11-01,100.541378448204
2013-12-01,101.733477789816
2014-01-01,102.447537294775
2014-02-01,100.756396366364
2014-03-01,101.745478789899
2014-04-01,102.300525043754
2014-05-01,98.9862488540712
2014-06-01,101.262438536545
2014-07-01,102.445537128094
2014-08-01,98.6722226852238
2014-09-01,98.881240103342
2014-10-01,98.4932077673139
2014-11-01,98.8322360196683
2014-12-01,101.536461371781
2015-01-01,97.9081590132511
2015-02-01,100.108342361863
2015-03-01,98.5082090174181
2015-04-01,99.7083090257521
2015-05-01,97.6081340111676
2015-06-01,99.7083090257521
2015-07-01,98.9082423535295
2015-08-01,101.508459038253
2015-09-01,103.408617384782
2015-10-01,101.708475706309
2015-11-01,100.708392366031
2015-12-01,100.308359029919
2016-01-01,98.8082340195016
2016-02-01,100.608384032003
2016-03-01,101.008417368114
2016-04-01,99.80831735978
2016-05-01,102.808567380615
2016-06-01,102.908575714643
2016-07-01,102.308525710476
2016-08-01,101.308442370198
2016-09-01,102.208517376448
2016-10-01,101.008417368114
2016-11-01,105.108759063255
2016-12-01,104.608717393116
2017-01-01,106.708892407701
2017-02-01,103.708642386866
2017-03-01,106.208850737561
2017-04-01,104.208684057005
2017-05-01,104.808734061172
2017-06-01,103.50862571881
2017-07-01,104.708725727144
2017-08-01,104.808734061172
2017-09-01,105.80881740145
2017-10-01,106.208850737561
2017-11-01,105.608800733394
2017-12-01,103.908659054921
2018-01-01,104.9087423952
2018-02-01,105.408784065339
2018-03-01,104.208684057005
2018-04-01,106.808900741728
2018-05-01,106.908909075756
2018-06-01,107.108925743812
2018-07-01,108.009000750062
2018-08-01,108.709059088257
2018-09-01,106.608884073673
2018-10-01,108.309025752146
2018-11-01,105.608800733394
2018-12-01,104.808734061172
2019-01-01,105.008750729227
2019-02-01,101.108425702142
2019-03-01,103.208600716726
2019-04-01,104.9087423952
