DATE,USSLIND
2000-11-01,0.93
2000-12-01,0.75
2001-01-01,0.88
2001-02-01,0.59
2001-03-01,0.38
2001-04-01,0.19
2001-05-01,0.38
2001-06-01,0.53
2001-07-01,0.22
2001-08-01,0.33
2001-09-01,-0.15
2001-10-01,-0.40
2001-11-01,-0.48
2001-12-01,-0.09
2002-01-01,0.50
2002-02-01,0.70
2002-03-01,0.48
2002-04-01,0.56
2002-05-01,0.69
2002-06-01,0.96
2002-07-01,1.12
2002-08-01,0.91
2002-09-01,0.96
2002-10-01,0.86
2002-11-01,0.70
2002-12-01,0.63
2003-01-01,0.89
2003-02-01,0.66
2003-03-01,0.47
2003-04-01,0.26
2003-05-01,0.45
2003-06-01,0.53
2003-07-01,0.91
2003-08-01,1.12
2003-09-01,1.49
2003-10-01,1.56
2003-11-01,1.54
2003-12-01,1.80
2004-01-01,1.53
2004-02-01,1.49
2004-03-01,1.61
2004-04-01,1.64
2004-05-01,1.79
2004-06-01,1.52
2004-07-01,1.56
2004-08-01,1.48
2004-09-01,1.40
2004-10-01,1.40
2004-11-01,1.51
2004-12-01,1.38
2005-01-01,1.16
2005-02-01,1.54
2005-03-01,1.40
2005-04-01,1.66
2005-05-01,1.32
2005-06-01,1.68
2005-07-01,1.69
2005-08-01,1.79
2005-09-01,1.27
2005-10-01,1.33
2005-11-01,1.49
2005-12-01,1.71
2006-01-01,1.85
2006-02-01,1.62
2006-03-01,1.57
2006-04-01,1.40
2006-05-01,1.05
2006-06-01,1.12
2006-07-01,0.72
2006-08-01,1.02
2006-09-01,0.90
2006-10-01,1.10
2006-11-01,0.83
2006-12-01,1.00
2007-01-01,1.27
2007-02-01,1.09
2007-03-01,1.36
2007-04-01,1.08
2007-05-01,1.26
2007-06-01,0.76
2007-07-01,0.56
2007-08-01,0.59
2007-09-01,0.46
2007-10-01,0.65
2007-11-01,0.45
2007-12-01,0.27
2008-01-01,0.44
2008-02-01,0.35
2008-03-01,0.22
2008-04-01,0.22
2008-05-01,0.03
2008-06-01,-0.10
2008-07-01,-0.41
2008-08-01,-0.81
2008-09-01,-0.63
2008-10-01,-1.19
2008-11-01,-1.77
2008-12-01,-1.91
2009-01-01,-2.36
2009-02-01,-2.35
2009-03-01,-2.71
2009-04-01,-2.25
2009-05-01,-1.34
2009-06-01,-0.81
2009-07-01,-0.26
2009-08-01,-0.10
2009-09-01,0.26
2009-10-01,0.12
2009-11-01,0.41
2009-12-01,0.59
2010-01-01,0.48
2010-02-01,0.69
2010-03-01,1.00
2010-04-01,1.06
2010-05-01,1.34
2010-06-01,1.39
2010-07-01,1.36
2010-08-01,0.86
2010-09-01,0.50
2010-10-01,0.77
2010-11-01,1.37
2010-12-01,1.50
2011-01-01,1.43
2011-02-01,1.52
2011-03-01,1.66
2011-04-01,1.52
2011-05-01,1.28
2011-06-01,1.21
2011-07-01,1.30
2011-08-01,1.60
2011-09-01,1.35
2011-10-01,1.53
2011-11-01,1.78
2011-12-01,1.73
2012-01-01,1.92
2012-02-01,1.88
2012-03-01,1.90
2012-04-01,1.77
2012-05-01,1.69
2012-06-01,1.46
2012-07-01,1.43
2012-08-01,1.40
2012-09-01,1.61
2012-10-01,1.84
2012-11-01,1.40
2012-12-01,1.59
2013-01-01,1.67
2013-02-01,2.00
2013-03-01,1.78
2013-04-01,1.70
2013-05-01,1.66
2013-06-01,1.55
2013-07-01,1.53
2013-08-01,1.67
2013-09-01,1.75
2013-10-01,1.40
2013-11-01,1.58
2013-12-01,1.52
2014-01-01,1.85
2014-02-01,1.44
2014-03-01,1.52
2014-04-01,1.84
2014-05-01,1.91
2014-06-01,2.01
2014-07-01,1.94
2014-08-01,1.74
2014-09-01,1.95
2014-10-01,2.06
2014-11-01,1.77
2014-12-01,2.04
2015-01-01,1.68
2015-02-01,1.69
2015-03-01,1.72
2015-04-01,1.77
2015-05-01,1.94
2015-06-01,1.75
2015-07-01,1.90
2015-08-01,1.83
2015-09-01,1.81
2015-10-01,1.63
2015-11-01,1.58
2015-12-01,1.66
2016-01-01,1.40
2016-02-01,1.69
2016-03-01,1.59
2016-04-01,1.59
2016-05-01,1.44
2016-06-01,1.47
2016-07-01,1.53
2016-08-01,1.56
2016-09-01,1.35
2016-10-01,1.25
2016-11-01,1.69
2016-12-01,1.65
2017-01-01,1.76
2017-02-01,1.52
2017-03-01,1.69
2017-04-01,1.60
2017-05-01,1.43
2017-06-01,1.50
2017-07-01,1.42
2017-08-01,1.39
2017-09-01,1.18
2017-10-01,1.60
2017-11-01,1.43
2017-12-01,1.53
2018-01-01,1.56
2018-02-01,1.60
2018-03-01,1.62
2018-04-01,1.60
2018-05-01,1.58
2018-06-01,1.52
2018-07-01,1.34
2018-08-01,1.52
2018-09-01,1.38
2018-10-01,1.47
2018-11-01,1.12
2018-12-01,1.14
2019-01-01,1.11
2019-02-01,1.18
2019-03-01,1.26
2019-04-01,1.36
2019-05-01,1.28
