DATE,TCU
1992-11-01,81.2465
1992-12-01,81.1784
1993-01-01,81.3929
1993-02-01,81.6255
1993-03-01,81.3902
1993-04-01,81.5609
1993-05-01,81.1656
1993-06-01,81.1872
1993-07-01,81.3220
1993-08-01,81.1146
1993-09-01,81.3715
1993-10-01,81.8527
1993-11-01,82.0357
1993-12-01,82.3156
1994-01-01,82.4456
1994-02-01,82.2735
1994-03-01,82.8910
1994-04-01,83.1359
1994-05-01,83.3224
1994-06-01,83.6015
1994-07-01,83.4688
1994-08-01,83.6974
1994-09-01,83.7438
1994-10-01,84.1743
1994-11-01,84.4093
1994-12-01,85.0074
1995-01-01,84.8753
1995-02-01,84.4491
1995-03-01,84.2801
1995-04-01,83.9355
1995-05-01,83.9245
1995-06-01,83.9063
1995-07-01,83.2659
1995-08-01,83.9983
1995-09-01,84.0071
1995-10-01,83.5663
1995-11-01,83.4295
1995-12-01,83.3918
1996-01-01,82.4858
1996-02-01,83.3894
1996-03-01,82.9383
1996-04-01,83.3173
1996-05-01,83.5426
1996-06-01,83.8605
1996-07-01,83.3674
1996-08-01,83.4647
1996-09-01,83.6490
1996-10-01,83.2059
1996-11-01,83.5380
1996-12-01,83.6723
1997-01-01,83.3857
1997-02-01,83.9747
1997-03-01,84.1096
1997-04-01,83.6972
1997-05-01,83.7419
1997-06-01,83.6892
1997-07-01,83.8514
1997-08-01,84.2312
1997-09-01,84.4657
1997-10-01,84.6618
1997-11-01,84.8608
1997-12-01,84.5738
1998-01-01,84.4562
1998-02-01,84.0187
1998-03-01,83.5325
1998-04-01,83.3082
1998-05-01,83.3168
1998-06-01,82.2970
1998-07-01,81.5496
1998-08-01,82.7766
1998-09-01,82.1898
1998-10-01,82.4451
1998-11-01,81.9957
1998-12-01,81.9189
1999-01-01,81.9344
1999-02-01,82.0143
1999-03-01,81.8010
1999-04-01,81.6934
1999-05-01,81.9353
1999-06-01,81.4872
1999-07-01,81.6998
1999-08-01,81.7408
1999-09-01,81.0995
1999-10-01,81.8848
1999-11-01,81.9786
1999-12-01,82.3225
2000-01-01,82.0516
2000-02-01,82.0127
2000-03-01,82.0292
2000-04-01,82.3411
2000-05-01,82.2055
2000-06-01,82.0119
2000-07-01,81.6213
2000-08-01,81.1192
2000-09-01,81.1697
2000-10-01,80.6702
2000-11-01,80.4360
2000-12-01,79.9609
2001-01-01,79.1990
2001-02-01,78.4463
2001-03-01,78.0233
2001-04-01,77.5674
2001-05-01,76.8776
2001-06-01,76.2139
2001-07-01,75.5834
2001-08-01,75.3028
2001-09-01,74.8378
2001-10-01,74.3471
2001-11-01,73.8287
2001-12-01,73.7034
2002-01-01,74.0367
2002-02-01,73.8997
2002-03-01,74.4000
2002-04-01,74.6213
2002-05-01,74.8665
2002-06-01,75.5239
2002-07-01,75.3046
2002-08-01,75.2919
2002-09-01,75.3866
2002-10-01,75.1601
2002-11-01,75.5636
2002-12-01,75.2121
2003-01-01,75.8117
2003-02-01,75.9469
2003-03-01,75.8002
2003-04-01,75.2892
2003-05-01,75.3397
2003-06-01,75.4925
2003-07-01,75.8479
2003-08-01,75.7592
2003-09-01,76.2212
2003-10-01,76.3433
2003-11-01,76.9449
2003-12-01,76.9031
2004-01-01,77.1127
2004-02-01,77.5936
2004-03-01,77.2217
2004-04-01,77.5842
2004-05-01,78.2110
2004-06-01,77.5744
2004-07-01,78.1759
2004-08-01,78.2314
2004-09-01,78.2864
2004-10-01,79.0107
2004-11-01,79.1443
2004-12-01,79.6835
2005-01-01,79.9972
2005-02-01,80.4794
2005-03-01,80.2733
2005-04-01,80.3227
2005-05-01,80.3334
2005-06-01,80.5403
2005-07-01,80.1807
2005-08-01,80.2946
2005-09-01,78.6901
2005-10-01,79.5760
2005-11-01,80.2756
2005-12-01,80.6666
2006-01-01,80.6550
2006-02-01,80.5513
2006-03-01,80.6080
2006-04-01,80.8178
2006-05-01,80.6154
2006-06-01,80.7934
2006-07-01,80.6211
2006-08-01,80.7817
2006-09-01,80.4511
2006-10-01,80.2285
2006-11-01,79.9679
2006-12-01,80.6105
2007-01-01,80.0023
2007-02-01,80.6198
2007-03-01,80.6111
2007-04-01,81.0020
2007-05-01,80.8807
2007-06-01,80.7637
2007-07-01,80.6222
2007-08-01,80.7225
2007-09-01,80.9840
2007-10-01,80.6186
2007-11-01,81.0946
2007-12-01,81.1260
2008-01-01,80.9476
2008-02-01,80.7254
2008-03-01,80.5897
2008-04-01,80.0336
2008-05-01,79.6251
2008-06-01,79.4611
2008-07-01,79.0360
2008-08-01,77.7935
2008-09-01,74.3680
2008-10-01,75.0069
2008-11-01,73.9865
2008-12-01,71.7426
2009-01-01,69.9566
2009-02-01,69.4359
2009-03-01,68.2745
2009-04-01,67.6767
2009-05-01,66.9601
2009-06-01,66.6872
2009-07-01,67.4362
2009-08-01,68.2344
2009-09-01,68.8187
2009-10-01,69.1297
2009-11-01,69.5147
2009-12-01,69.8537
2010-01-01,70.8069
2010-02-01,71.2129
2010-03-01,71.8411
2010-04-01,72.2743
2010-05-01,73.4956
2010-06-01,73.7648
2010-07-01,74.2356
2010-08-01,74.5955
2010-09-01,74.8797
2010-10-01,74.7737
2010-11-01,74.8673
2010-12-01,75.6440
2011-01-01,75.5769
2011-02-01,75.2522
2011-03-01,75.9846
2011-04-01,75.6763
2011-05-01,75.7913
2011-06-01,75.9320
2011-07-01,76.2397
2011-08-01,76.5547
2011-09-01,76.4131
2011-10-01,76.8067
2011-11-01,76.6057
2011-12-01,76.8861
2012-01-01,77.2097
2012-02-01,77.2402
2012-03-01,76.7353
2012-04-01,77.1696
2012-05-01,77.1784
2012-06-01,77.0278
2012-07-01,77.0989
2012-08-01,76.6028
2012-09-01,76.5147
2012-10-01,76.5534
2012-11-01,76.8008
2012-12-01,76.9541
2013-01-01,76.7396
2013-02-01,77.0716
2013-03-01,77.2816
2013-04-01,77.0537
2013-05-01,77.0493
2013-06-01,77.1240
2013-07-01,76.7206
2013-08-01,77.1577
2013-09-01,77.4882
2013-10-01,77.2874
2013-11-01,77.4494
2013-12-01,77.6192
2014-01-01,77.2295
2014-02-01,77.8131
2014-03-01,78.4870
2014-04-01,78.4423
2014-05-01,78.6377
2014-06-01,78.8358
2014-07-01,78.8874
2014-08-01,78.6908
2014-09-01,78.8180
2014-10-01,78.7287
2014-11-01,79.2428
2014-12-01,79.0322
2015-01-01,78.5510
2015-02-01,78.0783
2015-03-01,77.7947
2015-04-01,77.2778
2015-05-01,76.8939
2015-06-01,76.5911
2015-07-01,77.0087
2015-08-01,76.8645
2015-09-01,76.5609
2015-10-01,76.2641
2015-11-01,75.7226
2015-12-01,75.2731
2016-01-01,75.8803
2016-02-01,75.3187
2016-03-01,74.6970
2016-04-01,74.7409
2016-05-01,74.6427
2016-06-01,74.9324
2016-07-01,75.0813
2016-08-01,74.9718
2016-09-01,74.9346
2016-10-01,75.0413
2016-11-01,74.8585
2016-12-01,75.4682
2017-01-01,75.5192
2017-02-01,75.2098
2017-03-01,75.6990
2017-04-01,76.3643
2017-05-01,76.4548
2017-06-01,76.5694
2017-07-01,76.5277
2017-08-01,76.1529
2017-09-01,76.1375
2017-10-01,77.2684
2017-11-01,77.6484
2017-12-01,77.8571
2018-01-01,77.6079
2018-02-01,77.8178
2018-03-01,78.1856
2018-04-01,78.8045
2018-05-01,78.0794
2018-06-01,78.5531
2018-07-01,78.7794
2018-08-01,79.2810
2018-09-01,79.2538
2018-10-01,79.2889
2018-11-01,79.5725
2018-12-01,79.4625
2019-01-01,79.0046
2019-02-01,78.4687
2019-03-01,78.4027
2019-04-01,77.8974
2019-05-01,78.0865
2019-06-01,77.9216
