feature,precision
"['Volume', 'UNRATE', 'KORCPIALLMINMEI']",0
"['Volume', 'UNRATE', 'LRUNTTTTKRM156S']",0
"['Volume', 'UNRATE', '한국실업률']",0.090909091
"['Volume', 'UNRATE', 'IR3TCD01KRM156N']",0.153846154
"['Volume', 'UNRATE', '환율평균']",0
"['Volume', 'T10Y2YM', 'NEWORDER']",0.148148148
"['Volume', 'T10Y2YM', 'CSUSHPINSA']",0
"['Volume', 'T10Y2YM', 'PCE']",0.12
"['Volume', 'T10Y2YM', 'LREMTTTTUSM156S']",0.142857143
"['Volume', 'T10Y2YM', 'DGORDER']",0
"['Volume', 'T10Y2YM', 'TWEXBMTH']",0.055555556
"['Volume', 'T10Y2YM', 'UNRATENSA']",0
"['Volume', 'T10Y2YM', 'TCU']",0.095238095
"['Volume', 'T10Y2YM', 'INDPRO']",0
"['Volume', 'T10Y2YM', 'PPIACO']",0.074074074
"['Volume', 'T10Y2YM', 'RMFSL']",0
"['Volume', 'T10Y2YM', 'CPIAUCSL']",0.194444444
"['Volume', 'T10Y2YM', 'HOUST']",0.1875
"['Volume', 'T10Y2YM', 'HSN1F']",0.12
"['Volume', 'T10Y2YM', 'FEDFUNDS']",0.172413793
"['Volume', 'T10Y2YM', 'USSLIND']",0.043478261
"['Volume', 'T10Y2YM', 'TOTALSA']",0
"['Volume', 'T10Y2YM', 'UMCSENT']",0.090909091
"['Volume', 'T10Y2YM', '서울아파트매매가격지수']",0.181818182
"['Volume', 'T10Y2YM', 'AMBNS']",0.045454545
"['Volume', 'T10Y2YM', '자가주거비포함지수']",0.142857143
"['Volume', 'T10Y2YM', '자가주거비']",0.117647059
"['Volume', 'T10Y2YM', '수출물가지수']",0.12
"['Volume', 'T10Y2YM', 'EXJPUS']",0.172413793
"['Volume', 'T10Y2YM', 'EXKOUS']",0.0625
"['Volume', 'T10Y2YM', 'EXCHUS']",0.172413793
"['Volume', 'T10Y2YM', 'XTEXVA01CNM667S']",0.083333333
"['Volume', 'T10Y2YM', '정책금리']",0.111111111
"['Volume', 'T10Y2YM', '통화량']",0.117647059
"['Volume', 'T10Y2YM', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'T10Y2YM', 'XTIMVA01KRM667S']",0.05
"['Volume', 'T10Y2YM', 'KORPROINDMISMEI']",0.166666667
"['Volume', 'T10Y2YM', 'KORCPIALLMINMEI']",0.0625
"['Volume', 'T10Y2YM', 'LRUNTTTTKRM156S']",0.111111111
"['Volume', 'T10Y2YM', '한국실업률']",0.181818182
"['Volume', 'T10Y2YM', 'IR3TCD01KRM156N']",0.136363636
"['Volume', 'T10Y2YM', '환율평균']",0.066666667
"['Volume', 'NEWORDER', 'CSUSHPINSA']",0.173913043
"['Volume', 'NEWORDER', 'PCE']",0.148148148
"['Volume', 'NEWORDER', 'LREMTTTTUSM156S']",0.193548387
"['Volume', 'NEWORDER', 'DGORDER']",0.1875
"['Volume', 'NEWORDER', 'TWEXBMTH']",0.157894737
"['Volume', 'NEWORDER', 'UNRATENSA']",0.148148148
"['Volume', 'NEWORDER', 'TCU']",0.230769231
"['Volume', 'NEWORDER', 'INDPRO']",0.066666667
"['Volume', 'NEWORDER', 'PPIACO']",0.266666667
"['Volume', 'NEWORDER', 'RMFSL']",0.25
"['Volume', 'NEWORDER', 'CPIAUCSL']",0.137931034
