DATE,미국 IHS 제조업 PMI Actual,Consensus,Previous,Revised
2013-03-01,54.3,52.5,55.2,
2013-02-21,55.2,55.5,55.8,
2013-02-01,55.8,,56.1,
2013-01-24,56.1,53,54,
2013-01-02,54,53.2,54.2,
2012-12-14,54.2,52,52.8,
2012-12-03,52.8,51.2,52.4,
2012-11-21,52.4,51,51,
2012-11-01,51,51.5,51.3,
2012-10-24,51.3,51.5,51.1,
2012-10-01,51.1,51.5,51.5,
2012-09-20,51.5,51.5,51.5,
2012-09-04,51.5,51.2,51.9,
2012-08-23,51.9,51.5,51.4,
2012-08-01,51.4,52,51.8,
2012-07-24,51.8,52,52.5,
2012-07-02,52.5,53,52.9,
2012-06-21,52.9,53,54,
2012-06-01,54,,53.9,
2012-05-24,53.9,,56,
2012-04-25,56,,,
