DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,HM3UP
2005-10-01,1228.030029,1246.410034,1137.22998,1158.109985,1158.109985,9704000,0,0
2005-11-01,1165.77002,1300.880005,1165.310059,1297.439941,1297.439941,10318400,1,1
2005-12-01,1295.560059,1383.140015,1288.97998,1379.369995,1379.369995,10329800,1,1
2006-01-01,1383.319946,1426.209961,1285.630005,1399.829956,1399.829956,10209600,0,1
2006-02-01,1390.430054,1398.189941,1299.72998,1371.589966,1371.589966,7212400,0,0
2006-03-01,1377.459961,1379.300049,1296.780029,1359.599976,1359.599976,7134000,0,0
2006-04-01,1362.349976,1458.670044,1361.140015,1419.72998,1419.72998,6887400,1,1
2006-05-01,1419.640015,1464.699951,1295.469971,1317.699951,1317.699951,5300600,0,1
2006-06-01,1308.439941,1319.050049,1192.089966,1295.150024,1295.150024,4456800,0,0
2006-07-01,1294.569946,1316.119995,1231.050049,1297.819946,1297.819946,3764000,0,0
2006-08-01,1296.709961,1361.47998,1277.310059,1352.73999,1352.73999,4513200,1,1
2006-09-01,1354.77002,1378.98999,1323.900024,1371.410034,1371.410034,5243400,0,0
2006-10-01,1370.27002,1380.910034,1303.619995,1364.550049,1364.550049,4807400,0,0
2006-11-01,1372.030029,1434.849976,1363.709961,1432.209961,1432.209961,5149800,1,1
2006-12-01,1433.400024,1445.51001,1373.030029,1434.459961,1434.459961,4258200,0,0
2007-01-01,1438.890015,1439.709961,1345.079956,1360.22998,1360.22998,4240000,0,0
2007-02-01,1367.069946,1471.040039,1362.040039,1417.339966,1417.339966,4380800,1,1
2007-03-01,1407.189941,1459.689941,1375.839966,1452.550049,1452.550049,5811400,0,1
2007-04-01,1456.189941,1565.030029,1452.560059,1542.23999,1542.23999,7849800,1,1
2007-05-01,1550.390015,1702.01001,1546.599976,1700.910034,1700.910034,8742800,1,1
2007-06-01,1712.969971,1813.839966,1707.75,1743.599976,1743.599976,10039400,1,1
2007-07-01,1741.410034,2015.47998,1736.630005,1933.27002,1933.27002,10323800,1,1
2007-08-01,1920.069946,1928.640015,1626.869995,1873.23999,1873.23999,8622000,0,0
2007-09-01,1876.920044,1952.390015,1805.880005,1946.47998,1946.47998,6978200,1,1
2007-10-01,1948.780029,2070.860107,1875.22998,2064.850098,2064.850098,9678800,1,1
2007-11-01,2085.330078,2085.449951,1745.26001,1906,1906,7371600,0,0
2007-12-01,1907.949951,1972.369995,1808.859985,1897.130005,1897.130005,5438600,0,1
2008-01-01,1891.449951,1892.5,1570.869995,1624.680054,1624.680054,6319200,0,0
2008-02-01,1645.050049,1739.599976,1619.650024,1711.619995,1711.619995,5769000,1,1
2008-03-01,1676.300049,1709.310059,1537.530029,1703.98999,1703.98999,6077200,0,0
2008-04-01,1701.640015,1831.839966,1694.530029,1825.469971,1825.469971,6133200,1,1
2008-05-01,1851.640015,1901.130005,1791.400024,1852.02002,1852.02002,5924000,0,0
2008-06-01,1848.300049,1853.5,1669.689941,1674.920044,1674.920044,6313800,0,0
2008-07-01,1675.699951,1681.449951,1488.75,1594.670044,1594.670044,6806000,0,0
2008-08-01,1578.550049,1597.310059,1466.459961,1474.23999,1474.23999,512589000,0,0
2008-09-01,1453.140015,1503.829956,1366.880005,1448.060059,1448.060059,8266200,0,1
2008-10-01,1453.400024,1458.680054,892.159973,1113.060059,1113.060059,10081400,0,0
2008-11-01,1117.130005,1217.819946,914.02002,1076.069946,1076.069946,11203000,1,1
2008-12-01,1074,1201.140015,997,1124.469971,1124.469971,10411600,1,1
2009-01-01,1132.869995,1228.560059,1085.719971,1162.109985,1162.109985,7222400,1,1
2009-02-01,1145.869995,1227.72998,1036.670044,1063.030029,1063.030029,10345600,1,1
2009-03-01,1044.280029,1256.699951,992.690002,1206.26001,1206.26001,11485200,1,1
