DATE,"미국 항공기 제외, 비국방 자본재 주문"
2008-09-01,63556
2008-10-01,59439
2008-11-01,60513
2008-12-01,55732
2009-01-01,49523
2009-02-01,50247
2009-03-01,48959
2009-04-01,47043
2009-05-01,48777
2009-06-01,50508
2009-07-01,51053
2009-08-01,50126
2009-09-01,52991
2009-10-01,52061
2009-11-01,52778
2009-12-01,54427
2010-01-01,52365
2010-02-01,53386
2010-03-01,56130
2010-04-01,52604
2010-05-01,57162
2010-06-01,59728
2010-07-01,56453
2010-08-01,58633
2010-09-01,59839
2010-10-01,57751
2010-11-01,60426
2010-12-01,61858
2011-01-01,60696
2011-02-01,59049
2011-03-01,62057
2011-04-01,61957
2011-05-01,63863
2011-06-01,63492
2011-07-01,64870
2011-08-01,64663
2011-09-01,65559
2011-10-01,67585
2011-11-01,65081
2011-12-01,68520
2012-01-01,67740
2012-02-01,69729
2012-03-01,69443
2012-04-01,67904
2012-05-01,69087
2012-06-01,66981
2012-07-01,65108
2012-08-01,63671
2012-09-01,63851
2012-10-01,65817
2012-11-01,66737
2012-12-01,66397
2013-01-01,69666
2013-02-01,66186
2013-03-01,65911
2013-04-01,67245
2013-05-01,69054
2013-06-01,68803
2013-07-01,65978
2013-08-01,65882
2013-09-01,66200
2013-10-01,64322
2013-11-01,68263
2013-12-01,66857
2014-01-01,67962
2014-02-01,67110
2014-03-01,68192
2014-04-01,66236
2014-05-01,65504
2014-06-01,69424
2014-07-01,67521
2014-08-01,68353
2014-09-01,69215
2014-10-01,65372
2014-11-01,64362
2014-12-01,65561
2015-01-01,65854
2015-02-01,64254
2015-03-01,64321
2015-04-01,63970
2015-05-01,62649
2015-06-01,63225
2015-07-01,63979
2015-08-01,63465
2015-09-01,63285
2015-10-01,63011
2015-11-01,62254
2015-12-01,59922
2016-01-01,61849
2016-02-01,60788
2016-03-01,60517
2016-04-01,60503
2016-05-01,59218
2016-06-01,59724
2016-07-01,60456
2016-08-01,61821
2016-09-01,60102
2016-10-01,60055
2016-11-01,60578
2016-12-01,60470
2017-01-01,62355
2017-02-01,62687
2017-03-01,63108
2017-04-01,63572
2017-05-01,63719
2017-06-01,63456
2017-07-01,64123
2017-08-01,64555
2017-09-01,68024
2017-10-01,67140
2017-11-01,65101
2017-12-01,66707
2018-01-01,66237
2018-02-01,67522
2018-03-01,66828
2018-04-01,67882
2018-05-01,68034
2018-06-01,68784
2018-07-01,69973
2018-08-01,69477
2018-09-01,69184
2018-10-01,69904
2018-11-01,69052
2018-12-01,67964
2019-01-01,68935
2019-02-01,69166
2019-03-01,69396
2019-04-01,68695
2019-05-01,68950
