,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D,경상수지,상품수지,BAA,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,NEWORDER,서울아파트매매가격지수,AMBNS,자가주거비포함지수,자가주거비,수출물가지수,EXJPUS,EXKOUS,EXCHUS,T10Y2YM,XTEXVA01CNM667S,정책금리,통화량,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,한국실업률,IR3TCD01KRM156N,환율평균
BAA,-0.7202304613853434,-0.7161343156533104,-0.7370516343744736,-0.728664761207836,-0.728664761207836,0.3144282418793237,0.1103184412996096,0.24775987625735973,-0.5525814532882288,-0.6233297110694176,1.0,-0.2703960129987625,-0.7286255566612887,0.44716766067985486,-0.6002033491989897,-0.377179559636498,0.24466226352650755,-0.20582794805616714,-0.5654868314945904,-0.5610192121352295,-0.717607730904643,-0.04545046950902809,0.12420176198915041,0.3470345511235229,-0.8096683814680096,-0.5903778204544705,-0.4937344582280297,-0.27817210882793514,-0.7759649591640013,-0.7538299001117258,-0.7935257034473685,0.5739011516589312,-0.046505461410511456,0.10592464905374732,0.48167607632151577,0.1015906116652743,-0.7486061532651802,0.5921450808382865,-0.7210104540223421,-0.5728140946728076,-0.5953578767991126,-0.769058191461772,-0.7388626012570865,-0.14085637998045622,-0.0812647499035692,0.6886948227291341,0.10815597843371186
CSUSHPINSA,0.6808836879331148,0.6801752748407283,0.679108831343637,0.6781091250225283,0.6781091250225283,0.10927679344289633,-0.11475105876071488,-0.14447744537107463,0.2216764630050598,0.413160204645521,-0.2703960129987625,1.0,0.4933842819743887,0.5276405783136882,0.6007023647032856,0.7757143381914734,-0.9053909036727481,0.4592193318077564,0.7303938565248722,-0.10172862768098626,0.30156414994434194,0.594112007760494,0.49302849031566587,0.5156120926583654,0.1725039050918337,0.7139019738200798,0.3380637093659469,0.12741334773059787,0.18425321899018804,0.2229108350730457,0.3742528696297949,-0.7372253640889697,0.8082406298737129,-0.3210555236799986,0.2774182094795907,-0.7797050364041084,0.18397741789830882,-0.1693420492869038,0.3759860628171226,0.3181143417239876,-0.07079829724133925,0.09903909183885841,0.1834317919365816,0.3698174099405553,0.18092309281281393,-0.22073885140313312,-0.32039330202486926
PCE,0.9508252946846647,0.9527838353648924,0.9474108661626527,0.9512085123086937,0.9512085123086937,0.052722834308868864,-0.02004941535225092,-0.10767331446789834,0.6360198373733158,0.7486060671049082,-0.7286255566612887,0.4933842819743887,1.0,-0.43029299701839785,0.5789956392407083,0.6366452243494589,-0.3382235815898279,-0.052396914041127035,0.5895232736692244,0.68420941068268,0.9724868257990277,-0.20270888833813788,-0.3740027541892494,-0.4076137874402312,0.35653005797701404,0.40674272409690926,0.4339998060007916,0.7456457815242816,0.8892510936237247,0.9529117225553456,0.974658135533348,-0.5073904250851171,0.17697457662288935,0.25172830516953976,-0.6383866237916013,-0.07241739462973908,0.9043357985140946,-0.7285597474751477,0.9874322049738137,0.32437279990270257,0.6788236098811407,0.8800038779277634,0.9411292961364843,0.2714232954389174,0.15784457382131148,-0.7596665416562499,0.2511791911567232
LREMTTTTUSM156S,-0.2092690085424944,-0.21285131563602946,-0.21317008878226498,-0.21613214758490856,-0.21613214758490856,0.06665930005718147,-0.12033348878582568,0.03115778392150597,-0.4226214656019463,-0.34997944069969156,0.44716766067985486,0.5276405783136882,-0.43029299701839785,1.0,0.1345787010523335,0.14772355294047715,-0.6486831745486183,0.5878395411206416,0.2544415434292153,-0.6865680748317113,-0.5930889549064031,0.7598979089262051,0.8136371670086416,0.9177261664002176,-0.22547266136748992,0.3444285834831267,0.0425767060383651,-0.525075605097735,-0.6858276138778281,-0.6675809417376829,-0.5371996998240045,-0.21738258039500719,0.6231130944547891,-0.5661051735094227,0.8551846968820557,-0.7492088434716949,-0.6381870978491162,0.6308875003834146,-0.5502809308294979,-0.1099518159183361,-0.6463672772124869,-0.7255657958158752,-0.6955399984360279,0.004546476786643042,0.005206869112781057,0.6043937219982494,-0.5646792415446243
DGORDER,0.667533098050406,0.6599732718918743,0.6654033653102688,0.6599826647884112,0.6599826647884112,-0.09260268742695095,-0.2077345032481946,-0.12379000218511566,0.2755846191018827,0.34474007989893957,-0.6002033491989897,0.6007023647032856,0.5789956392407083,0.1345787010523335,1.0,0.3032988818117871,-0.6524122145218821,0.7095529097751886,0.9333761730840607,0.47532826416091595,0.5178731916648301,0.2938835150940569,0.10627006023932024,0.22602774186827862,0.5719136983293263,0.7160284897333529,0.8807121048468771,0.2040035237161647,0.4103410677011788,0.4584208515286196,0.5281111873083439,-0.6427882366541908,0.4061767651129429,-0.5099442537782083,-0.1890679243651897,-0.46569729988926306,0.5550546888862821,-0.008580283131450908,0.4717452263762066,0.32279301836518687,0.5278771115334498,0.483396370902482,0.4384865636790141,-0.0989536682723914,-0.07542778442514325,-0.11394663670470867,-0.510541824134251
TWEXBMTH,0.7361086252153998,0.7382379278433842,0.7317342757434996,0.7350685187610562,0.7350685187610562,0.03946682054307586,-0.05067950973880271,-0.11454922220342975,0.4564910236185155,0.6227140229723493,-0.377179559636498,0.7757143381914734,0.6366452243494589,0.14772355294047715,0.3032988818117871,1.0,-0.6557366729284458,0.03590040548913433,0.4507113318294617,-0.08876333643103118,0.465522880769633,0.387316074213833,0.29242566007632925,0.059995432021231934,0.17195570511170594,0.5756811413384485,-0.0013389743482097828,0.25154149407184734,0.45066897805552847,0.45660108158038915,0.5926359538897505,-0.5926242447143203,0.6050880314905982,0.21773421352835967,0.073581304759742,-0.5274771542211001,0.32087796168139465,-0.6143222056976989,0.5954478921647267,0.28872461639834246,-0.08746866733275499,0.26927135341479524,0.4192071637645127,0.5971517181224196,0.3625937054981912,-0.6273093212872571,0.21730541078237506
UNRATENSA,-0.5384761790559199,-0.5331773874948235,-0.535875575764167,-0.5333332228539962,-0.5333332228539962,0.04706377702694141,0.200267153596206,0.10519187122871049,-0.19171579748016007,-0.33366045207030937,0.24466226352650755,-0.9053909036727481,-0.3382235815898279,-0.6486831745486183,-0.6524122145218821,-0.6557366729284458,1.0,-0.6625607791584966,-0.7940766083900178,0.16924482567922228,-0.15212300069171494,-0.7249761177524133,-0.6131418494125351,-0.5742260488571718,-0.23895273616166218,-0.8260761382098178,-0.4278127463879194,0.11299894563696843,-0.08278959833432575,-0.08665705514015991,-0.2614752569553795,0.7164290483625584,-0.8361879577407403,0.45168804290238057,-0.35447778061627744,0.8193993961493982,-0.08871472042701509,-0.041049955034667976,-0.20429314165001822,-0.22286830509559594,0.13765808284547898,0.028097026805055453,-0.0426200972606796,-0.16952301369452938,-0.03183963258766003,0.0350750844634009,0.4515894440642613
TCU,0.14373671661096962,0.13552421159239952,0.1428625319399385,0.1365874692791482,0.1365874692791482,-0.2014190495747847,-0.208020808672804,-0.04166861078901342,-0.14181596499472926,-0.11535244952215731,-0.20582794805616714,0.4592193318077564,-0.052396914041127035,0.5878395411206416,0.7095529097751886,0.03590040548913433,-0.6625607791584966,1.0,0.7520729422183388,-0.06503450000919661,-0.15092574364505898,0.675842781670023,0.5891121355367365,0.6489788284578156,0.47688106646875816,0.6841811868950244,0.6895124618129852,-0.4196825011549862,-0.19436759635552686,-0.1987778513664276,-0.09433537047845462,-0.44336856769300154,0.46086488395494574,-0.8174586369200857,0.3894562834610145,-0.6371917584557992,-0.06073630650892405,0.4921281316382467,-0.18251615004095292,0.22586857574038752,0.014765789437646542,-0.15409469882477753,-0.22300163437375656,-0.21461500094342786,-0.1335662515638395,0.3788664368548352,-0.8181424752180086
INDPRO,0.7140525333452848,0.7090631450272753,0.7099194025888754,0.7082168299937109,0.7082168299937109,-0.08421433479273725,-0.17174687684313555,-0.10309085693610914,0.3173267191983193,0.40414881139965914,-0.5654868314945904,0.7303938565248722,0.5895232736692244,0.2544415434292153,0.9333761730840607,0.4507113318294617,-0.7940766083900178,0.7520729422183388,1.0,0.3519808895976767,0.4896897542428155,0.4101268530068773,0.23067333161152312,0.30096946339676983,0.5188734857413981,0.8101614754413617,0.811394283282214,0.14619281756317168,0.39660494994549444,0.42725397165032003,0.5331698840007498,-0.7208017228822795,0.5806848150407644,-0.4966250133907578,-0.0914109248315838,-0.5763703395746653,0.5109964167317015,-0.04266312144654989,0.46975595760920424,0.3201374482894117,0.3954149132169727,0.39733775802059706,0.39840107447002415,-0.02131861847557379,-0.020331695547142124,-0.14664269050109355,-0.497340843254619
PPIACO,0.5281479505322008,0.5275561530540964,0.522473734502437,0.5249486469577447,0.5249486469577447,0.01411671053373045,0.01197517929166914,0.013962762036073766,0.4004454256385015,0.36138858653904965,-0.5610192121352295,-0.10172862768098626,0.68420941068268,-0.6865680748317113,0.47532826416091595,-0.08876333643103118,0.16924482567922228,-0.06503450000919661,0.3519808895976767,1.0,0.8158930556833791,-0.5898774460689482,-0.7329099100050542,-0.598576090510352,0.3057227919610024,-0.007741459593449283,0.5919590906868262,0.6874058868895515,0.7211390752183818,0.8010623825342083,0.7011467274772692,-0.019609088546345358,-0.33660512861566627,0.1720875107072761,-0.8828178187913482,0.3893216517423812,0.8662621034322638,-0.34653958757396686,0.7045221358993962,0.11177577586591196,0.9770948410373949,0.8686130978625541,0.821190651143854,-0.2229229057616338,-0.14844401524315362,-0.37268376263254605,0.1715312380673331
