DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D
1981-11-01,197.25,201.369995,197.160004,201.369995,201.369995,0,0,0
1981-12-01,201.130005,201.130005,193.910004,195.839996,195.839996,0,0,0
1982-01-01,195.529999,195.529999,183.410004,188.389999,188.389999,0,0,1
1982-02-01,186.820007,188.210007,177.490005,179.429993,179.429993,0,0,1
1982-03-01,180.130005,180.139999,167.919998,175.649994,175.649994,0,0,1
1982-04-01,177.309998,185.800003,177.309998,184.699997,184.699997,0,1,0
1982-05-01,184.970001,188.220001,178.369995,178.539993,178.539993,0,0,0
1982-06-01,177.360001,177.820007,168,171.300003,171.300003,0,0,1
1982-07-01,170.600006,172.110001,166.800003,167.350006,167.350006,0,0,0
1982-08-01,168.369995,178.169998,159.139999,177.710007,177.710007,0,1,1
1982-09-01,177.300003,189.039993,177.300003,187.649994,187.649994,0,1,0
1982-10-01,188.699997,215.289993,188.020004,212.630005,212.630005,0,1,0
1982-11-01,214.520004,232.610001,214.520004,232.309998,232.309998,0,1,0
1982-12-01,235.589996,240.699997,225.600006,232.410004,232.410004,0,0,1
1983-01-01,230.589996,248.350006,230.589996,248.350006,248.350006,0,1,0
1983-02-01,248.149994,262.440002,248.149994,260.670013,260.670013,0,1,0
1983-03-01,261.820007,270.890015,261.820007,270.799988,270.799988,0,0,0
1983-04-01,268.730011,293.059998,266.470001,293.059998,293.059998,0,1,0
1983-05-01,290.540009,312.049988,289.649994,308.730011,308.730011,0,1,0
1983-06-01,307.950012,328.910004,307.950012,318.700012,318.700012,0,1,0
1983-07-01,321.579987,321.579987,303.959991,303.959991,303.959991,0,0,1
1983-08-01,302.079987,303.859985,289.359985,292.420013,292.420013,0,0,1
1983-09-01,294.549988,304.559998,294.549988,296.649994,296.649994,0,0,0
1983-10-01,294.640015,297.420013,274.549988,274.549988,274.549988,0,0,1
1983-11-01,273.040009,285.670013,269.570007,285.670013,285.670013,0,1,0
1983-12-01,286.070007,286.070007,274.51001,278.600006,278.600006,0,0,1
1984-01-01,277.630005,287.899994,268.429993,268.429993,268.429993,0,0,0
1984-02-01,266.429993,266.429993,247.089996,252.570007,252.570007,0,0,1
1984-03-01,253.5,255.539993,249.009995,250.779999,250.779999,0,0,0
1984-04-01,249.800003,249.800003,241.789993,247.440002,247.440002,0,0,0
1984-05-01,250.259995,253.009995,231.929993,232.820007,232.820007,0,0,1
1984-06-01,235.899994,241.110001,235.619995,239.649994,239.649994,0,0,0
1984-07-01,237.910004,238.289993,225.300003,229.699997,229.699997,0,0,1
1984-08-01,233.350006,254.809998,233.350006,254.639999,254.639999,0,1,0
1984-09-01,251.389999,255.600006,249.940002,249.940002,249.940002,0,0,0
1984-10-01,247.860001,252.199997,243.289993,247,247,911370000,0,0
1984-11-01,247.100006,252.300003,242.399994,242.399994,242.399994,1212490000,0,0
1984-12-01,241.899994,250.199997,237.699997,247.100006,247.100006,1282870000,0,0
1985-01-01,247.100006,278.899994,245.800003,278.700012,278.700012,1782060000,1,0
1985-02-01,277.899994,289.299988,277.899994,284.200012,284.200012,1742850000,1,0
1985-03-01,285.100006,287.799988,275.600006,279.200012,279.200012,1611310000,0,0
1985-04-01,279.5,284.799988,276.200012,280.600006,280.600006,1506450000,0,0
1985-05-01,280.5,294.799988,278.799988,290.799988,290.799988,1673270000,1,0
1985-06-01,291.399994,296.200012,286.700012,296.200012,296.200012,1582580000,0,0
1985-07-01,295.899994,307.899994,295.5,301.299988,301.299988,1769440000,1,0
1985-08-01,302.600006,304.600006,295.100006,297.700012,297.700012,1636000000,0,0
1985-09-01,297.299988,297.700012,279.5,280.299988,280.299988,1334990000,0,1
1985-10-01,280.600006,292.799988,276.600006,292.5,292.5,1858340000,1,0
1985-11-01,293,314,292.5,314,314,1840880000,1,0
1985-12-01,313.899994,325.600006,312.299988,324.899994,324.899994,2212020000,0,0
1986-01-01,325,335.799988,322.100006,335.799988,335.799988,2410850000,0,0
1986-02-01,336.100006,359.799988,335.799988,359.5,359.5,2345500000,1,0
1986-03-01,360,374.700012,359.100006,374.700012,374.700012,2595900000,1,0
1986-04-01,375.799988,393,368,383.200012,383.200012,2814600000,1,0
1986-05-01,383.200012,400.399994,381.5,400.200012,400.200012,2412320000,1,0
