,0,EXCHUS,T10Y2YM,Volume,서울아파트매매가격지수
120,2014-10-01,,,,
121,2014-11-01,,,,
122,2014-12-01,,,,
123,2015-01-01,,,,
124,2015-02-01,,,,
125,2015-03-01,,,,
126,2015-04-01,,,,
127,2015-05-01,,,,
128,2015-06-01,,,,
129,2015-07-01,,,,
130,2015-08-01,,,,
131,2015-09-01,,,,
132,2015-10-01,,,,
133,2015-11-01,,,,
134,2015-12-01,,,,
135,2016-01-01,,,,
136,2016-02-01,,,,
137,2016-03-01,,,,
138,2016-04-01,,,,
139,2016-05-01,,,,
140,2016-06-01,,,,
141,2016-07-01,,,,
142,2016-08-01,,,,
143,2016-09-01,,,,
144,2016-10-01,,,,
145,2016-11-01,,,,
146,2016-12-01,,,,
147,2017-01-01,,,,
148,2017-02-01,,,,
149,2017-03-01,,,,
150,2017-04-01,,,,
151,2017-05-01,,,,
152,2017-06-01,,,,
153,2017-07-01,,,,
154,2017-08-01,,,,
155,2017-09-01,,,,
156,2017-10-01,,,,
157,2017-11-01,,,,
158,2017-12-01,,,,
159,2018-01-01,,,,
160,2018-02-01,,,,
161,2018-03-01,,,,
162,2018-04-01,,,,
163,2018-05-01,,,,
164,2018-06-01,,,,
165,2018-07-01,,,,
166,2018-08-01,,,,
167,2018-09-01,,,,
168,2018-10-01,,,,
169,2018-11-01,,,,
170,2018-12-01,,,,
171,2019-01-01,,,,
172,2019-02-01,,,,
173,2019-03-01,,,,
130,,6.3383,1.47,45767180000.0,91.1
131,,6.3676,1.46,41503920000.0,91.7
132,,6.3505,1.43,42348240000.0,92.3
133,,6.364,1.38,36834860000.0,92.9
134,,6.4491,1.26,40617940000.0,93.3
135,,6.5726,1.19,44877130000.0,93.3
136,,6.5501,1.05,43108650000.0,93.3
137,,6.5027,1.01,40738880000.0,93.3
138,,6.4754,1.04,38014300000.0,93.4
139,,6.5259,0.99,38803240000.0,93.6
140,,6.5892,0.91,44213900000.0,93.9
141,,6.6771,0.83,36050040000.0,94.3
142,,6.6466,0.82,38754780000.0,94.6
143,,6.6702,0.86,40054600000.0,95.0
144,,6.7303,0.92,34644850000.0,95.7
145,,6.8402,1.16,41870720000.0,96.2
146,,6.9198,1.29,40597960000.0,96.3
147,,6.8907,1.22,36027970000.0,96.3
148,,6.8694,1.22,36709560000.0,96.4
149,,6.894,1.17,43937720000.0,96.6
150,,6.8876,1.06,33793200000.0,96.8
151,,6.8843,1.0,42285390000.0,97.3
152,,6.8066,0.85,48689910000.0,98.2
153,,6.7694,0.95,36063120000.0,98.7
154,,6.667000000000002,0.87,41236800000.0,99.3
155,,6.569,0.82,38177120000.0,99.3
156,,6.6254,0.81,41421370000.0,99.6
157,,6.62,0.65,41870380000.0,100.0
158,,6.5932,0.56,38573170000.0,100.8
159,,6.4233,0.55,44405890000.0,102.2
160,,6.3183,0.68,43791970000.0,103.6
161,,6.3174,0.56,48355130000.0,104.4
162,,6.2967,0.49,42932190000.0,104.8
163,,6.3701,0.47,45405220000.0,105.0
164,,6.4651,0.38,48305960000.0,105.2
165,,6.7164,0.28,38678490000.0,105.6
166,,6.8453,0.25,45900880000.0,106.5
167,,6.8551,0.23,44545790000.0,108.4
168,,6.9191,0.29,61400960000.0,109.1
169,,6.9367,0.26,48560650000.0,109.1
170,,6.8837,0.15,48808340000.0,108.9
171,,6.7863,0.17,49199040000.0,108.5
172,,6.7367,0.18,42304540000.0,108.1
173,,6.7119,0.16,49145540000.0,107.7
130,1,,,,
131,0,,,,
132,0,,,,
133,0,,,,
134,1,,,,
135,1,,,,
136,1,,,,
137,0,,,,
138,0,,,,
139,0,,,,
140,1,,,,
141,0,,,,
142,0,,,,
143,0,,,,
144,0,,,,
145,0,,,,
146,0,,,,
147,0,,,,
148,0,,,,
149,0,,,,
150,0,,,,
151,0,,,,
152,0,,,,
153,0,,,,
154,0,,,,
155,0,,,,
156,0,,,,
157,0,,,,
158,0,,,,
159,0,,,,
160,1,,,,
161,1,,,,
162,0,,,,
163,0,,,,
164,0,,,,
165,0,,,,
166,0,,,,
167,0,,,,
168,1,,,,
169,1,,,,
170,1,,,,
171,0,,,,
172,0,,,,
173,0,,,,
0,1,,,,
1,1,,,,
2,1,,,,
3,0,,,,
4,1,,,,
5,1,,,,
6,1,,,,
7,0,,,,
8,0,,,,
9,0,,,,
10,1,,,,
11,0,,,,
12,0,,,,
13,0,,,,
14,0,,,,
15,0,,,,
16,0,,,,
17,0,,,,
18,0,,,,
19,1,,,,
20,0,,,,
21,0,,,,
22,1,,,,
23,0,,,,
24,0,,,,
25,0,,,,
26,0,,,,
27,0,,,,
28,0,,,,
29,1,,,,
30,1,,,,
31,1,,,,
32,0,,,,
33,1,,,,
34,1,,,,
35,0,,,,
36,1,,,,
37,0,,,,
38,1,,,,
39,1,,,,
40,1,,,,
41,1,,,,
42,0,,,,
43,1,,,,
